stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.843,"[-1.517, -0.169]",0.674,-2.496,0.015
norefined,c,-6.497,"[-11.553, -1.441]",5.056,-2.565,0.013
norefined,s,-3.650,"[-6.45, -0.849]",2.800,-2.601,0.011
norefined,k0,-0.406,"[-1.875, 1.063]",1.469,-0.552,0.583
norefined,k1,-0.060,"[-0.862, 0.742]",0.802,-0.150,0.881
norefined,k2,0.685,"[-0.448, 1.819]",1.133,1.207,0.232
norefined,k3,0.278,"[-0.641, 1.197]",0.919,0.604,0.548
norefined,k4,-0.081,"[-1.055, 0.893]",0.974,-0.166,0.869
norefined,k5,-0.018,"[-1.254, 1.217]",1.235,-0.030,0.976
refined,tt,-1.045,"[-1.699, -0.391]",0.654,-3.188,0.002
refined,c,-6.234,"[-10.428, -2.04]",4.194,-2.967,0.004
refined,s,-3.597,"[-5.966, -1.229]",2.368,-3.032,0.003
refined,k0,0.247,"[-0.695, 1.188]",0.941,0.523,0.603
refined,k1,0.266,"[-0.326, 0.859]",0.593,0.897,0.373
refined,k2,0.407,"[-0.379, 1.193]",0.786,1.034,0.305
refined,k3,-0.119,"[-0.841, 0.603]",0.722,-0.328,0.744
refined,k4,0.074,"[-0.833, 0.981]",0.907,0.162,0.872
refined,k5,-0.046,"[-1.11, 1.018]",1.064,-0.086,0.932
