stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.596,"[-0.811, -0.381]",0.215,-4.657,0.000
norefined,c,-4.196,"[-5.764, -2.627]",1.568,-4.487,0.000
norefined,s,-2.415,"[-3.311, -1.519]",0.896,-4.519,0.000
norefined,k0,-0.172,"[-0.778, 0.435]",0.606,-0.475,0.637
norefined,k1,-0.339,"[-0.842, 0.164]",0.503,-1.131,0.264
norefined,k2,-0.794,"[-1.547, -0.041]",0.753,-1.768,0.083
norefined,k3,-0.277,"[-0.817, 0.263]",0.540,-0.861,0.394
norefined,k4,-0.217,"[-0.776, 0.342]",0.559,-0.651,0.518
norefined,k5,0.389,"[-0.206, 0.983]",0.594,1.096,0.278
refined,tt,-0.845,"[-1.035, -0.655]",0.190,-7.462,0.000
refined,c,-5.072,"[-6.353, -3.791]",1.281,-6.641,0.000
refined,s,-2.540,"[-3.144, -1.936]",0.604,-7.055,0.000
refined,k0,0.015,"[-0.413, 0.442]",0.427,0.057,0.955
refined,k1,-0.445,"[-0.857, -0.033]",0.412,-1.809,0.077
refined,k2,0.030,"[-0.535, 0.595]",0.565,0.088,0.930
refined,k3,-0.173,"[-0.612, 0.266]",0.439,-0.661,0.512
refined,k4,0.076,"[-0.379, 0.531]",0.455,0.280,0.781
refined,k5,0.226,"[-0.237, 0.689]",0.463,0.819,0.417
