stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.725,"[-2.866, -0.584]",1.141,-2.521,0.014
norefined,c,-7.921,"[-13.212, -2.63]",5.291,-2.497,0.015
norefined,s,-4.083,"[-6.757, -1.409]",2.674,-2.547,0.013
norefined,k0,0.003,"[-1.406, 1.411]",1.409,0.003,0.997
norefined,k1,-0.836,"[-2.242, 0.569]",1.405,-0.993,0.324
norefined,k2,0.325,"[-1.705, 2.354]",2.029,0.267,0.790
norefined,k3,-0.164,"[-1.352, 1.023]",1.188,-0.231,0.818
norefined,k4,-0.602,"[-1.893, 0.689]",1.291,-0.778,0.439
norefined,k5,-0.584,"[-1.852, 0.683]",1.267,-0.769,0.445
refined,tt,-2.065,"[-4.035, -0.096]",1.970,-1.749,0.085
refined,c,-11.938,"[-23.763, -0.112]",11.825,-1.684,0.097
refined,s,-5.849,"[-11.559, -0.139]",5.710,-1.709,0.092
refined,k0,-0.636,"[-3.644, 2.372]",3.008,-0.353,0.725
refined,k1,-0.550,"[-2.218, 1.118]",1.668,-0.550,0.584
refined,k2,1.203,"[-2.309, 4.715]",3.512,0.571,0.570
refined,k3,-0.355,"[-2.416, 1.706]",2.061,-0.287,0.775
refined,k4,-0.396,"[-2.098, 1.307]",1.703,-0.387,0.700
refined,k5,0.126,"[-1.91, 2.161]",2.036,0.103,0.918
