stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.187,"[-2.15, -0.223]",0.963,-2.055,0.044
norefined,c,-6.633,"[-12.59, -0.675]",5.957,-1.857,0.068
norefined,s,-3.214,"[-5.731, -0.696]",2.517,-2.129,0.037
norefined,k0,-0.050,"[-1.365, 1.264]",1.314,-0.064,0.949
norefined,k1,-0.780,"[-1.694, 0.135]",0.914,-1.422,0.160
norefined,k2,-1.083,"[-3.275, 1.109]",2.192,-0.824,0.413
norefined,k3,-0.659,"[-2.195, 0.878]",1.537,-0.715,0.477
norefined,k4,-0.257,"[-1.32, 0.806]",1.063,-0.403,0.688
norefined,k5,-0.625,"[-1.694, 0.445]",1.069,-0.974,0.333
refined,tt,-0.929,"[-1.559, -0.299]",0.630,-2.460,0.016
refined,c,-5.508,"[-9.665, -1.352]",4.156,-2.210,0.030
refined,s,-3.120,"[-4.979, -1.261]",1.859,-2.799,0.007
refined,k0,-0.068,"[-1.204, 1.067]",1.136,-0.100,0.920
refined,k1,0.021,"[-0.748, 0.79]",0.769,0.046,0.964
refined,k2,-0.885,"[-2.242, 0.472]",1.357,-1.088,0.281
refined,k3,-0.369,"[-1.455, 0.718]",1.087,-0.566,0.573
refined,k4,-0.180,"[-1.089, 0.729]",0.909,-0.331,0.742
refined,k5,-0.406,"[-1.304, 0.492]",0.898,-0.754,0.454
