stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.243,"[-2.003, -0.483]",0.760,-2.727,0.008
norefined,c,-7.833,"[-13.087, -2.58]",5.253,-2.487,0.015
norefined,s,-4.307,"[-6.96, -1.654]",2.653,-2.708,0.009
norefined,k0,0.252,"[-1.315, 1.818]",1.566,0.268,0.790
norefined,k1,-0.828,"[-1.949, 0.293]",1.121,-1.232,0.222
norefined,k2,0.320,"[-1.794, 2.434]",2.114,0.252,0.802
norefined,k3,-0.185,"[-1.679, 1.309]",1.494,-0.207,0.837
norefined,k4,-0.300,"[-1.468, 0.868]",1.168,-0.429,0.670
norefined,k5,-0.685,"[-2.096, 0.726]",1.411,-0.810,0.421
refined,tt,-1.038,"[-1.502, -0.574]",0.464,-3.729,0.000
refined,c,-5.834,"[-8.474, -3.194]",2.640,-3.685,0.000
refined,s,-2.861,"[-4.113, -1.61]",1.252,-3.813,0.000
refined,k0,0.817,"[-0.187, 1.82]",1.003,1.358,0.179
refined,k1,0.156,"[-0.597, 0.908]",0.753,0.345,0.731
refined,k2,0.263,"[-0.982, 1.509]",1.246,0.353,0.725
refined,k3,0.265,"[-0.517, 1.048]",0.783,0.565,0.574
refined,k4,0.090,"[-0.642, 0.821]",0.731,0.204,0.839
refined,k5,-0.108,"[-0.921, 0.704]",0.813,-0.222,0.825
