stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.997,"[-1.928, -0.065]",0.932,-1.784,0.079
norefined,c,-7.087,"[-13.729, -0.446]",6.641,-1.780,0.080
norefined,s,-2.361,"[-4.678, -0.045]",2.317,-1.700,0.094
norefined,k0,-0.497,"[-2.103, 1.109]",1.606,-0.516,0.608
norefined,k1,-0.885,"[-2.3, 0.53]",1.415,-1.043,0.301
norefined,k2,1.180,"[-1.167, 3.528]",2.347,0.838,0.405
norefined,k3,1.120,"[-0.624, 2.863]",1.743,1.071,0.288
norefined,k4,1.049,"[-0.145, 2.243]",1.194,1.465,0.148
norefined,k5,-0.773,"[-2.505, 0.959]",1.732,-0.744,0.459
refined,tt,-0.720,"[-1.329, -0.111]",0.609,-1.973,0.053
refined,c,-3.911,"[-7.607, -0.216]",3.696,-1.765,0.082
refined,s,-1.923,"[-3.532, -0.314]",1.609,-1.993,0.050
refined,k0,-1.285,"[-2.789, 0.219]",1.504,-1.425,0.159
refined,k1,0.143,"[-0.793, 1.079]",0.936,0.255,0.799
refined,k2,0.092,"[-1.208, 1.392]",1.300,0.118,0.907
refined,k3,0.419,"[-0.794, 1.633]",1.213,0.577,0.566
refined,k4,0.105,"[-0.717, 0.927]",0.822,0.213,0.832
refined,k5,0.592,"[-0.248, 1.433]",0.841,1.175,0.244
