stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.941,"[-2.131, 0.249]",1.190,-1.318,0.192
norefined,c,-5.741,"[-13.08, 1.599]",7.340,-1.305,0.197
norefined,s,-3.174,"[-7.25, 0.902]",4.076,-1.299,0.198
norefined,k0,0.654,"[-1.146, 2.454]",1.800,0.606,0.546
norefined,k1,0.399,"[-1.268, 2.065]",1.667,0.399,0.691
norefined,k2,-0.270,"[-1.603, 1.064]",1.333,-0.337,0.737
norefined,k3,-0.526,"[-2.045, 0.993]",1.519,-0.578,0.565
norefined,k4,-0.698,"[-2.441, 1.045]",1.743,-0.668,0.506
norefined,k5,0.633,"[-0.943, 2.208]",1.576,0.670,0.505
refined,tt,-0.941,"[-2.131, 0.249]",1.190,-1.318,0.192
refined,c,-5.741,"[-13.08, 1.599]",7.340,-1.305,0.197
refined,s,-3.174,"[-7.25, 0.902]",4.076,-1.299,0.198
refined,k0,0.654,"[-1.146, 2.454]",1.800,0.606,0.546
refined,k1,0.399,"[-1.268, 2.065]",1.667,0.399,0.691
refined,k2,-0.270,"[-1.603, 1.064]",1.333,-0.337,0.737
refined,k3,-0.526,"[-2.045, 0.993]",1.519,-0.578,0.565
refined,k4,-0.698,"[-2.441, 1.045]",1.743,-0.668,0.506
refined,k5,0.633,"[-0.943, 2.208]",1.576,0.670,0.505
