stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.784,-5.947,-3.125,-0.165,-1.996,0.670,0.229,-0.376,-0.520,2139612946.569,1584,0,0,-0.132
norefined,2,0.303,-6.001,-3.102,-0.154,-2.052,0.596,0.154,-0.415,-0.523,1232888418.536,1584,0,0,-0.051
norefined,3,-0.187,-6.028,-3.073,-0.129,-2.086,0.548,0.095,-0.423,-0.498,558607028.467,1584,0,0,0.031
norefined,4,-0.674,-6.060,-3.015,-0.089,-2.075,0.490,0.044,-0.428,-0.476,347295119.790,1584,0,0,0.111
norefined,5,-0.999,-6.154,-2.972,0.093,-1.806,0.450,0.101,-0.330,-0.360,304069795.949,1584,0,0,0.162
norefined,6,-0.731,-6.246,-3.033,0.223,-1.478,0.431,0.239,-0.209,-0.274,262055161.649,1584,0,0,0.117
norefined,7,-1.150,-6.268,-3.035,0.331,-1.258,0.359,0.260,-0.159,-0.199,259316428.777,1584,0,0,0.183
norefined,8,-0.703,-6.327,-3.131,0.338,-1.106,0.374,0.344,-0.078,-0.214,249394274.910,1584,0,0,0.111
norefined,9,-1.192,-6.311,-3.093,0.383,-1.070,0.320,0.301,-0.090,-0.193,251916835.506,1584,0,0,0.189
norefined,10,-0.724,-6.366,-3.189,0.365,-0.975,0.333,0.359,-0.027,-0.229,243890267.459,1584,0,0,0.114
refined,11,-0.724,-6.366,-3.189,0.365,-0.975,0.333,0.359,-0.027,-0.229,243890267.459,1584,0,0,0.114
refined,12,-1.125,-7.352,-3.732,0.728,-0.795,-0.095,0.397,0.706,-0.430,207270729.007,1584,0,0,0.153
refined,13,-1.335,-8.303,-4.012,1.392,-1.326,-0.181,0.601,1.702,-1.021,203245988.510,1584,0,0,0.161
refined,14,-1.499,-9.287,-4.478,1.585,-1.402,-0.197,0.550,1.874,-1.050,202499919.108,1584,0,0,0.161
refined,15,-1.535,-9.579,-4.539,1.682,-1.492,-0.235,0.606,2.041,-1.134,202383645.650,1584,0,0,0.160
refined,16,-1.559,-9.736,-4.624,1.688,-1.485,-0.239,0.592,2.010,-1.113,202351608.052,1584,0,0,0.160
refined,17,-1.569,-9.818,-4.636,1.725,-1.516,-0.251,0.611,2.076,-1.147,202342512.263,1584,0,0,0.160
refined,18,-1.573,-9.843,-4.656,1.716,-1.505,-0.250,0.603,2.047,-1.131,202339113.754,1584,0,0,0.160
refined,19,-1.576,-9.870,-4.657,1.732,-1.518,-0.254,0.611,2.077,-1.147,202337772.456,1584,0,0,0.160
refined,20,-1.576,-9.870,-4.663,1.724,-1.511,-0.253,0.607,2.060,-1.138,202337154.311,1584,0,0,0.160
