stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,16.325,2.347,0.000,19,0,9,489471611.414,31190599.314
refined,32.471,2.347,0.000,19,0,9,489471611.414,16194882.491
