stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,39.235,1.765,0.000,57,0,9,1746255001.376,208966903.800
refined,200.021,1.765,0.000,57,0,9,1746255001.376,45352613.275
