stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.957,"[-1.68, -0.235]",0.722,-2.646,0.010
norefined,c,-6.844,"[-11.361, -2.328]",4.517,-3.025,0.004
norefined,s,-4.507,"[-7.502, -1.512]",2.995,-3.003,0.004
norefined,k0,-1.913,"[-3.318, -0.507]",1.406,-2.716,0.008
norefined,k1,0.514,"[-0.734, 1.763]",1.249,0.822,0.414
norefined,k2,-0.505,"[-1.953, 0.943]",1.448,-0.696,0.489
norefined,k3,1.327,"[-0.554, 3.207]",1.881,1.408,0.164
norefined,k4,0.360,"[-0.594, 1.315]",0.955,0.753,0.454
norefined,k5,0.978,"[-0.279, 2.235]",1.257,1.553,0.125
refined,tt,-1.321,"[-1.852, -0.791]",0.530,-4.973,0.000
refined,c,-7.619,"[-10.442, -4.796]",2.823,-5.387,0.000
refined,s,-3.740,"[-5.105, -2.376]",1.365,-5.471,0.000
refined,k0,0.337,"[-0.218, 0.892]",0.555,1.212,0.230
refined,k1,-0.224,"[-0.68, 0.232]",0.456,-0.982,0.330
refined,k2,-0.234,"[-0.737, 0.269]",0.503,-0.929,0.356
refined,k3,-0.295,"[-1.132, 0.542]",0.837,-0.704,0.484
refined,k4,0.165,"[-0.281, 0.61]",0.445,0.738,0.463
refined,k5,-0.044,"[-0.484, 0.396]",0.440,-0.199,0.843
