stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.963,-6.004,-4.546,-1.800,0.742,-0.052,1.591,0.590,1.588,1578452696.497,0.493
norefined,2,-2.502,-6.116,-4.688,-1.824,0.714,-0.078,1.555,0.550,1.579,919950859.642,0.409
norefined,3,-2.028,-6.232,-4.792,-1.839,0.698,-0.080,1.532,0.536,1.561,627106919.105,0.325
norefined,4,-1.549,-6.362,-4.818,-1.853,0.693,-0.077,1.522,0.552,1.514,383221561.630,0.243
norefined,5,-1.085,-6.487,-4.827,-1.880,0.649,-0.123,1.490,0.504,1.408,286292690.095,0.167
norefined,6,-1.487,-6.515,-4.753,-1.927,0.524,-0.248,1.387,0.372,1.265,336680613.293,0.228
norefined,7,-1.007,-6.602,-4.779,-1.850,0.565,-0.225,1.417,0.409,1.245,272246493.427,0.152
norefined,8,-1.462,-6.587,-4.736,-1.866,0.473,-0.305,1.345,0.318,1.137,323200910.559,0.222
norefined,9,-0.984,-6.666,-4.764,-1.779,0.524,-0.272,1.381,0.361,1.135,264293016.180,0.148
norefined,10,-1.451,-6.639,-4.731,-1.781,0.444,-0.337,1.317,0.280,1.038,313570710.400,0.219
refined,11,-0.984,-6.666,-4.764,-1.779,0.524,-0.272,1.381,0.361,1.135,264293016.180,0.148
refined,12,-0.240,-0.799,0.265,2.328,-1.871,0.839,-1.152,0.013,-1.153,4022332015.163,0.300
refined,13,-0.164,-1.345,-1.104,-0.951,0.665,-0.186,0.690,0.116,-0.058,598590808.302,0.122
refined,14,-0.289,-2.015,-1.345,-0.602,0.272,-0.029,0.688,0.051,-0.080,215804800.723,0.143
refined,15,-0.458,-3.024,-1.864,-0.389,0.028,0.082,0.606,0.006,-0.125,140252670.646,0.151
refined,16,-0.725,-4.457,-2.579,-0.007,-0.257,0.234,0.409,-0.030,-0.094,112366184.626,0.163
refined,17,-0.864,-5.174,-2.951,0.170,-0.379,0.264,0.304,-0.027,-0.007,109986362.299,0.167
refined,18,-0.873,-5.232,-3.002,0.175,-0.376,0.246,0.273,-0.012,0.015,109906544.784,0.167
refined,19,-0.878,-5.255,-3.013,0.181,-0.377,0.248,0.266,-0.011,0.018,109904490.165,0.167
refined,20,-0.877,-5.252,-3.013,0.180,-0.376,0.247,0.265,-0.011,0.018,109904396.108,0.167
