stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.184,-4.338,-2.407,-1.091,-0.076,-1.609,1.151,1.428,-1.205,3792391801.097,-0.042
norefined,2,-0.310,-4.354,-2.400,-1.105,-0.105,-1.645,1.117,1.388,-1.221,1586316334.393,0.071
norefined,3,-0.806,-4.338,-2.365,-1.076,-0.096,-1.652,1.095,1.385,-1.190,1115586848.460,0.186
norefined,4,-0.365,-4.425,-2.431,-0.950,-0.055,-1.618,1.068,1.287,-1.073,1449254403.883,0.082
norefined,5,-0.860,-4.404,-2.388,-0.915,-0.042,-1.622,1.051,1.288,-1.042,1095238071.329,0.195
norefined,6,-0.391,-4.481,-2.447,-0.839,-0.010,-1.584,1.043,1.217,-0.956,1378629601.447,0.087
norefined,7,-0.885,-4.457,-2.399,-0.803,0.005,-1.586,1.027,1.219,-0.926,1077279906.781,0.199
norefined,8,-0.411,-4.529,-2.457,-0.741,0.034,-1.545,1.023,1.156,-0.849,1323955734.096,0.091
norefined,9,-0.905,-4.504,-2.406,-0.705,0.049,-1.545,1.006,1.159,-0.821,1060554283.592,0.201
norefined,10,-0.427,-4.573,-2.464,-0.651,0.075,-1.502,1.005,1.102,-0.750,1279465424.227,0.093
refined,11,-0.905,-4.504,-2.406,-0.705,0.049,-1.545,1.006,1.159,-0.821,1060554283.592,0.201
refined,12,0.155,-0.251,0.509,2.102,0.655,2.428,-1.788,-0.991,1.318,5442426532.794,-0.620
refined,13,-0.744,-1.625,-1.872,-4.210,-0.418,-6.659,4.210,3.195,-3.271,2739760074.437,0.458
refined,14,0.332,-0.918,0.227,5.333,-0.066,9.764,-6.633,-5.779,7.327,6491438064.810,-0.361
refined,15,-1.400,-3.039,-1.316,-9.986,0.362,-21.722,16.908,15.259,-14.253,5317759079.243,0.461
refined,16,0.368,-3.034,-1.405,9.248,-1.799,17.659,-16.099,-17.091,19.724,7830112197.317,-0.121
refined,17,-2.945,6.190,2.453,-37.894,8.571,-76.555,75.641,79.340,-86.747,9781116384.269,-0.476
refined,18,25.297,-52.799,-20.875,361.113,-62.691,697.061,-699.569,-741.845,775.818,8540867936.366,-0.479
refined,19,-392.793,10119.050,-11243.812,-14219.517,7967.281,-15231.891,-1259.362,-8524.732,18436.521,7669274769.732,-0.039
refined,20,-392.793,10119.050,-11243.812,-14219.517,7967.281,-15231.891,-1259.362,-8524.732,18436.521,7669274769.732,-0.039
