stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,5.741,2.023,0.000,76,0,9,1878403016.840,1060554283.596
refined,5.741,2.023,0.000,76,0,9,1878403016.840,1060554283.596
