stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,8.052,1.727,0.000,0,9,4611275351.072,2215185085.440,76
refined,11.049,1.727,0.000,0,9,4611275351.072,1856204475.517,76
