stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,65.967,2.023,0.000,0,9,4180702547.712,423953442.804,76
refined,94.640,2.023,0.000,0,9,4180702547.712,304874544.036,76
