stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.562,-4.423,-4.719,0.117,1.039,-0.407,-1.441,1.503,-1.026,1111946612.204,1584,0,0,0.579
norefined,2,-2.125,-4.584,-4.831,0.098,1.020,-0.458,-1.446,1.374,-1.003,860595376.636,1584,0,0,0.464
norefined,3,-1.785,-4.800,-4.875,0.076,0.916,-0.492,-1.407,1.108,-1.046,778358539.738,1584,0,0,0.372
norefined,4,-1.950,-4.991,-4.745,0.156,0.742,-0.385,-1.270,0.789,-1.066,703405491.286,1584,0,0,0.391
norefined,5,-1.742,-5.220,-4.686,0.215,0.618,-0.285,-1.121,0.476,-1.104,642133842.474,1584,0,0,0.334
norefined,6,-1.772,-5.402,-4.528,0.335,0.515,-0.087,-0.913,0.187,-1.109,593611497.687,1584,0,0,0.328
norefined,7,-1.404,-5.554,-4.519,0.347,0.489,0.056,-0.748,-0.018,-1.137,552192995.214,1584,0,0,0.253
norefined,8,-1.475,-5.694,-4.314,0.455,0.489,0.242,-0.504,-0.294,-1.098,517467938.499,1584,0,0,0.259
norefined,9,-1.038,-5.767,-4.346,0.396,0.581,0.324,-0.368,-0.416,-1.083,555767326.017,1584,0,0,0.180
norefined,10,-1.501,-5.781,-4.198,0.424,0.495,0.303,-0.329,-0.453,-1.130,512868668.277,1584,0,0,0.260
refined,11,-1.501,-5.781,-4.198,0.424,0.495,0.303,-0.329,-0.453,-1.130,512868668.277,1584,0,0,0.260
refined,12,-1.338,-6.665,-4.289,0.211,1.097,0.433,-0.233,-1.059,-1.423,479626224.961,1584,0,0,0.201
refined,13,-1.488,-6.642,-4.506,0.031,1.072,0.273,0.155,-0.963,-1.402,468535825.488,1584,0,0,0.224
refined,14,-1.701,-7.380,-5.142,-0.084,1.310,0.200,0.452,-1.093,-1.589,465092012.624,1584,0,0,0.231
refined,15,-2.091,-8.511,-6.290,-0.209,1.736,0.141,0.924,-1.352,-1.933,459792612.796,1584,0,0,0.246
refined,16,-2.931,-11.054,-8.908,-0.364,2.376,-0.050,2.060,-1.782,-2.589,450009634.260,1584,0,0,0.265
refined,17,-4.556,-16.102,-14.161,-0.552,2.958,-0.697,4.654,-2.307,-3.513,438533571.501,1584,0,0,0.283
refined,18,-6.796,-23.266,-20.788,-0.711,4.239,-1.163,7.022,-3.262,-4.441,432119688.353,1584,0,0,0.292
refined,19,-10.055,-33.688,-30.537,-1.100,6.130,-1.786,10.579,-4.848,-6.108,428318097.219,1584,0,0,0.298
refined,20,-11.908,-39.447,-35.690,-1.097,7.735,-1.837,11.826,-5.787,-6.759,427346074.069,1584,0,0,0.302
