stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.223,"[-1.973, -0.473]",0.750,-3.256,0.002
norefined,c,-5.817,"[-9.222, -2.411]",3.405,-3.410,0.001
norefined,s,-3.571,"[-5.604, -1.537]",2.033,-3.505,0.001
norefined,k0,-0.048,"[-1.053, 0.957]",1.005,-0.095,0.925
norefined,k1,1.148,"[-0.064, 2.36]",1.212,1.891,0.063
norefined,k2,-0.538,"[-1.716, 0.64]",1.178,-0.911,0.365
norefined,k3,0.700,"[-0.502, 1.902]",1.202,1.163,0.249
norefined,k4,-0.268,"[-1.355, 0.818]",1.087,-0.493,0.624
norefined,k5,0.248,"[-0.904, 1.4]",1.152,0.429,0.669
refined,tt,-1.343,"[-2.168, -0.519]",0.824,-3.253,0.002
refined,c,-6.990,"[-11.132, -2.849]",4.142,-3.369,0.001
refined,s,-3.805,"[-6.02, -1.59]",2.215,-3.429,0.001
refined,k0,0.008,"[-1.028, 1.044]",1.036,0.015,0.988
refined,k1,0.225,"[-0.922, 1.371]",1.146,0.391,0.697
refined,k2,-0.544,"[-1.877, 0.79]",1.334,-0.814,0.419
refined,k3,0.121,"[-1.197, 1.439]",1.318,0.183,0.856
refined,k4,-0.086,"[-1.161, 0.989]",1.075,-0.160,0.873
refined,k5,-0.018,"[-1.197, 1.161]",1.179,-0.030,0.976
