attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.992,"[-1.379, -0.604]",0.388,-4.268,0.000,49,0.150,171460063.362,0.135,-1.000,0.008,0,0,fn
c,-6.195,"[-8.562, -3.828]",2.367,-4.365,0.000,49,0.150,171460063.362,0.135,-6.000,-0.195,0,0,fn
s,-3.388,"[-4.593, -2.182]",1.205,-4.687,0.000,49,0.150,171460063.362,0.135,-3.000,-0.388,0,0,fn
k0,0.959,"[0.2, 1.717]",0.758,2.109,0.039,49,0.150,171460063.362,0.135,0.000,0.959,0,1,fp
k1,-0.308,"[-0.906, 0.29]",0.598,-0.858,0.394,49,0.150,171460063.362,0.135,0.000,-0.308,0,0,fp
k2,-0.191,"[-1.047, 0.664]",0.855,-0.373,0.710,49,0.150,171460063.362,0.135,0.000,-0.191,0,0,fp
k3,-1.012,"[-1.878, -0.146]",0.866,-1.949,0.055,49,0.150,171460063.362,0.135,0.000,-1.012,0,1,fp
k4,-0.214,"[-0.623, 0.196]",0.410,-0.871,0.387,49,0.150,171460063.362,0.135,0.000,-0.214,0,0,fp
k5,-0.054,"[-0.46, 0.351]",0.405,-0.224,0.823,49,0.150,171460063.362,0.135,0.000,-0.054,0,0,fp
vot,0.160,,,,,49,0.150,171460063.362,0.135,0.167,-0.007,0,0,fn
tt,-1.000,"[-1.559, -0.442]",0.558,-2.988,0.004,49,0.200,409292111.872,0.215,-1.000,-0.000,0,0,fn
c,-6.236,"[-9.601, -2.872]",3.365,-3.091,0.003,49,0.200,409292111.872,0.215,-6.000,-0.236,0,0,fn
s,-3.018,"[-4.617, -1.419]",1.599,-3.149,0.002,49,0.200,409292111.872,0.215,-3.000,-0.018,0,0,fn
k0,0.794,"[-0.259, 1.847]",1.053,1.257,0.213,49,0.200,409292111.872,0.215,0.000,0.794,0,0,fp
k1,0.408,"[-0.376, 1.193]",0.785,0.868,0.388,49,0.200,409292111.872,0.215,0.000,0.408,0,0,fp
k2,-0.285,"[-1.456, 0.886]",1.171,-0.406,0.686,49,0.200,409292111.872,0.215,0.000,-0.285,0,0,fp
k3,-0.755,"[-1.918, 0.408]",1.163,-1.083,0.283,49,0.200,409292111.872,0.215,0.000,-0.755,0,0,fp
k4,-0.114,"[-0.719, 0.491]",0.605,-0.315,0.754,49,0.200,409292111.872,0.215,0.000,-0.114,0,0,fp
k5,-0.018,"[-0.647, 0.611]",0.629,-0.048,0.962,49,0.200,409292111.872,0.215,0.000,-0.018,0,0,fp
vot,0.160,,,,,49,0.200,409292111.872,0.215,0.167,-0.006,0,0,fn
tt,-0.747,"[-1.173, -0.322]",0.425,-2.928,0.005,49,0.250,576683854.568,0.241,-1.000,0.253,0,0,fn
c,-3.758,"[-5.858, -1.659]",2.099,-2.986,0.004,49,0.250,576683854.568,0.241,-6.000,2.242,0,0,fn
s,-2.364,"[-3.526, -1.202]",1.162,-3.393,0.001,49,0.250,576683854.568,0.241,-3.000,0.636,0,0,fn
k0,0.609,"[-0.25, 1.468]",0.859,1.183,0.241,49,0.250,576683854.568,0.241,0.000,0.609,0,0,fp
k1,0.894,"[0.152, 1.635]",0.741,2.011,0.048,49,0.250,576683854.568,0.241,0.000,0.894,0,1,fp
k2,-0.993,"[-2.036, 0.051]",1.043,-1.587,0.117,49,0.250,576683854.568,0.241,0.000,-0.993,0,0,fp
k3,1.084,"[0.213, 1.956]",0.872,2.075,0.042,49,0.250,576683854.568,0.241,0.000,1.084,0,1,fp
k4,-0.893,"[-1.549, -0.237]",0.656,-2.270,0.026,49,0.250,576683854.568,0.241,0.000,-0.893,0,1,fp
k5,0.120,"[-0.504, 0.744]",0.624,0.321,0.749,49,0.250,576683854.568,0.241,0.000,0.120,0,0,fp
vot,0.199,,,,,49,0.250,576683854.568,0.241,0.167,0.032,0,0,fn
