stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,20.542,1.857,0.000,38,0,9,1358119602.905,184152407.776
refined,132.267,1.857,0.000,38,0,9,1358119602.905,32298931.735
