attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.982,"[-1.421, -0.544]",0.439,-3.735,0.000,100,0.150,142526024.351,0.124,-1.000,0.018,0,0,fn
c,-5.496,"[-7.764, -3.228]",2.268,-4.042,0.000,100,0.150,142526024.351,0.124,-6.000,0.504,0,0,fn
s,-2.954,"[-4.263, -1.645]",1.309,-3.764,0.000,100,0.150,142526024.351,0.124,-3.000,0.046,0,0,fn
k0,-0.350,"[-0.767, 0.067]",0.417,-1.399,0.167,100,0.150,142526024.351,0.124,0.000,-0.350,0,0,fp
k1,-0.130,"[-0.491, 0.23]",0.361,-0.603,0.549,100,0.150,142526024.351,0.124,0.000,-0.130,0,0,fp
k2,0.007,"[-0.634, 0.648]",0.641,0.018,0.985,100,0.150,142526024.351,0.124,0.000,0.007,0,0,fp
k3,0.428,"[-0.074, 0.93]",0.502,1.422,0.160,100,0.150,142526024.351,0.124,0.000,0.428,0,0,fp
k4,-0.289,"[-0.8, 0.222]",0.511,-0.942,0.349,100,0.150,142526024.351,0.124,0.000,-0.289,0,0,fp
k5,0.415,"[-0.357, 1.188]",0.773,0.896,0.373,100,0.150,142526024.351,0.124,0.000,0.415,0,0,fp
vot,0.179,,,,,100,0.150,142526024.351,0.124,0.167,0.012,0,0,fn
tt,-0.998,"[-1.652, -0.344]",0.654,-2.545,0.013,100,0.200,366759703.443,0.198,-1.000,0.002,0,0,fn
c,-5.543,"[-8.929, -2.156]",3.387,-2.730,0.008,100,0.200,366759703.443,0.198,-6.000,0.457,0,0,fn
s,-3.011,"[-4.919, -1.104]",1.908,-2.633,0.011,100,0.200,366759703.443,0.198,-3.000,-0.011,0,0,fn
k0,-0.056,"[-0.7, 0.589]",0.645,-0.144,0.886,100,0.200,366759703.443,0.198,0.000,-0.056,0,0,fp
k1,0.158,"[-0.46, 0.776]",0.618,0.427,0.671,100,0.200,366759703.443,0.198,0.000,0.158,0,0,fp
k2,0.306,"[-0.704, 1.315]",1.009,0.505,0.615,100,0.200,366759703.443,0.198,0.000,0.306,0,0,fp
k3,-0.072,"[-0.88, 0.736]",0.808,-0.149,0.882,100,0.200,366759703.443,0.198,0.000,-0.072,0,0,fp
k4,0.507,"[-0.435, 1.45]",0.942,0.897,0.373,100,0.200,366759703.443,0.198,0.000,0.507,0,0,fp
k5,-0.525,"[-1.514, 0.463]",0.989,-0.886,0.379,100,0.200,366759703.443,0.198,0.000,-0.525,0,0,fp
vot,0.180,,,,,100,0.200,366759703.443,0.198,0.167,0.013,0,0,fn
tt,-0.543,"[-0.87, -0.215]",0.328,-2.763,0.007,100,0.250,568970090.713,0.230,-1.000,0.457,0,0,fn
c,-3.529,"[-5.452, -1.605]",1.924,-3.060,0.003,100,0.250,568970090.713,0.230,-6.000,2.471,0,0,fn
s,-1.510,"[-2.33, -0.69]",0.820,-3.072,0.003,100,0.250,568970090.713,0.230,-3.000,1.490,0,0,fn
k0,0.035,"[-0.502, 0.572]",0.537,0.109,0.914,100,0.250,568970090.713,0.230,0.000,0.035,0,0,fp
k1,0.121,"[-0.353, 0.595]",0.474,0.427,0.671,100,0.250,568970090.713,0.230,0.000,0.121,0,0,fp
k2,0.987,"[0.071, 1.904]",0.917,1.797,0.077,100,0.250,568970090.713,0.230,0.000,0.987,0,1,fp
k3,0.000,"[-0.562, 0.562]",0.562,0.001,0.999,100,0.250,568970090.713,0.230,0.000,0.000,0,0,fp
k4,-0.701,"[-1.497, 0.096]",0.797,-1.467,0.147,100,0.250,568970090.713,0.230,0.000,-0.701,0,0,fp
k5,0.058,"[-0.624, 0.74]",0.682,0.142,0.887,100,0.250,568970090.713,0.230,0.000,0.058,0,0,fp
vot,0.154,,,,,100,0.250,568970090.713,0.230,0.167,-0.013,0,0,fn
