stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.659,"[-0.918, -0.401]",0.259,-4.277,0.000
norefined,c,-4.856,"[-6.884, -2.829]",2.028,-4.017,0.000
norefined,s,-2.668,"[-3.647, -1.688]",0.979,-4.569,0.000
norefined,k0,-0.323,"[-0.904, 0.258]",0.581,-0.932,0.356
norefined,k1,-0.236,"[-0.89, 0.418]",0.654,-0.606,0.548
norefined,k2,-0.273,"[-0.682, 0.136]",0.409,-1.119,0.269
norefined,k3,-0.545,"[-1.005, -0.084]",0.460,-1.985,0.053
norefined,k4,-0.287,"[-0.776, 0.203]",0.489,-0.983,0.330
norefined,k5,0.760,"[0.218, 1.302]",0.542,2.354,0.023
refined,tt,-0.963,"[-1.216, -0.711]",0.252,-6.404,0.000
refined,c,-5.962,"[-7.632, -4.292]",1.670,-5.988,0.000
refined,s,-2.842,"[-3.549, -2.135]",0.707,-6.739,0.000
refined,k0,0.304,"[-0.068, 0.677]",0.372,1.372,0.177
refined,k1,-0.233,"[-0.648, 0.182]",0.415,-0.942,0.351
refined,k2,-0.039,"[-0.294, 0.215]",0.255,-0.259,0.797
refined,k3,-0.027,"[-0.267, 0.212]",0.239,-0.192,0.848
refined,k4,-0.021,"[-0.329, 0.287]",0.308,-0.115,0.909
refined,k5,-0.019,"[-0.328, 0.291]",0.310,-0.100,0.921
