stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.252,"[-2.051, -0.453]",0.799,-3.128,0.003
norefined,c,-6.460,"[-10.622, -2.299]",4.161,-3.099,0.003
norefined,s,-2.531,"[-4.055, -1.008]",1.524,-3.316,0.001
norefined,k0,-0.859,"[-2.035, 0.318]",1.177,-1.456,0.150
norefined,k1,-0.792,"[-1.757, 0.172]",0.965,-1.640,0.106
norefined,k2,0.771,"[-0.353, 1.896]",1.124,1.369,0.175
norefined,k3,0.508,"[-0.265, 1.282]",0.773,1.312,0.194
norefined,k4,0.139,"[-0.984, 1.261]",1.123,0.247,0.806
norefined,k5,-0.975,"[-1.952, 0.003]",0.978,-1.990,0.051
refined,tt,-0.997,"[-1.367, -0.626]",0.371,-5.368,0.000
refined,c,-6.015,"[-8.231, -3.799]",2.216,-5.417,0.000
refined,s,-2.925,"[-3.893, -1.957]",0.968,-6.032,0.000
refined,k0,0.169,"[-0.354, 0.691]",0.522,0.644,0.522
refined,k1,-0.201,"[-0.632, 0.229]",0.430,-0.935,0.353
refined,k2,0.262,"[-0.275, 0.8]",0.537,0.975,0.333
refined,k3,-0.248,"[-0.604, 0.108]",0.356,-1.389,0.169
refined,k4,-0.080,"[-0.67, 0.511]",0.591,-0.269,0.789
refined,k5,-0.124,"[-0.583, 0.335]",0.459,-0.540,0.591
