stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.889,"[-1.451, -0.327]",0.562,-2.638,0.010
norefined,c,-4.869,"[-7.636, -2.101]",2.767,-2.934,0.005
norefined,s,-3.111,"[-4.878, -1.344]",1.767,-2.937,0.005
norefined,k0,1.123,"[0.161, 2.085]",0.962,1.947,0.056
norefined,k1,0.835,"[-0.235, 1.905]",1.070,1.301,0.198
norefined,k2,-1.182,"[-2.377, 0.013]",1.195,-1.650,0.104
norefined,k3,1.371,"[0.021, 2.72]",1.349,1.694,0.095
norefined,k4,-0.653,"[-1.726, 0.42]",1.073,-1.015,0.314
norefined,k5,-0.949,"[-1.881, -0.017]",0.932,-1.698,0.094
refined,tt,-1.291,"[-2.124, -0.458]",0.833,-2.585,0.012
refined,c,-7.370,"[-11.554, -3.187]",4.183,-2.938,0.005
refined,s,-3.737,"[-5.948, -1.527]",2.210,-2.820,0.006
refined,k0,0.487,"[-0.371, 1.345]",0.858,0.947,0.347
refined,k1,0.823,"[-0.322, 1.969]",1.145,1.199,0.235
refined,k2,-0.177,"[-1.111, 0.758]",0.935,-0.315,0.754
refined,k3,0.075,"[-0.931, 1.081]",1.006,0.124,0.902
refined,k4,0.718,"[-0.284, 1.72]",1.002,1.195,0.236
refined,k5,-0.435,"[-1.315, 0.446]",0.881,-0.823,0.413
