attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.704,"[-2.475, -0.932]",0.771,-3.683,0.000,77,0.150,181212828.528,0.140,-1.000,-0.704,0,0,fn
c,-8.709,"[-12.622, -4.797]",3.912,-3.713,0.000,77,0.150,181212828.528,0.140,-6.000,-2.709,0,0,fn
s,-4.806,"[-6.783, -2.829]",1.977,-4.055,0.000,77,0.150,181212828.528,0.140,-3.000,-1.806,0,0,fn
k0,1.041,"[0.209, 1.873]",0.832,2.087,0.041,77,0.150,181212828.528,0.140,0.000,1.041,0,1,fp
k1,-1.122,"[-1.937, -0.307]",0.815,-2.295,0.025,77,0.150,181212828.528,0.140,0.000,-1.122,0,1,fp
k2,0.369,"[-0.432, 1.17]",0.801,0.769,0.445,77,0.150,181212828.528,0.140,0.000,0.369,0,0,fp
k3,-0.320,"[-0.914, 0.273]",0.593,-0.900,0.371,77,0.150,181212828.528,0.140,0.000,-0.320,0,0,fp
k4,0.428,"[-0.198, 1.055]",0.627,1.140,0.258,77,0.150,181212828.528,0.140,0.000,0.428,0,0,fp
k5,1.390,"[0.455, 2.324]",0.935,2.480,0.016,77,0.150,181212828.528,0.140,0.000,1.390,0,1,fp
vot,0.196,,,,,77,0.150,181212828.528,0.140,0.167,0.029,0,0,fn
tt,-1.550,"[-2.74, -0.36]",1.190,-2.173,0.033,77,0.200,354578014.599,0.196,-1.000,-0.550,0,0,fn
c,-9.480,"[-16.647, -2.312]",7.167,-2.206,0.031,77,0.200,354578014.599,0.196,-6.000,-3.480,0,0,fn
s,-3.809,"[-6.232, -1.385]",2.424,-2.621,0.011,77,0.200,354578014.599,0.196,-3.000,-0.809,0,0,fn
k0,-0.328,"[-1.418, 0.762]",1.090,-0.502,0.617,77,0.200,354578014.599,0.196,0.000,-0.328,0,0,fp
k1,1.167,"[0.086, 2.248]",1.081,1.800,0.076,77,0.200,354578014.599,0.196,0.000,1.167,0,1,fp
k2,-0.946,"[-2.072, 0.18]",1.126,-1.401,0.166,77,0.200,354578014.599,0.196,0.000,-0.946,0,0,fp
k3,0.714,"[-0.335, 1.764]",1.049,1.135,0.260,77,0.200,354578014.599,0.196,0.000,0.714,0,0,fp
k4,-0.404,"[-1.286, 0.478]",0.882,-0.764,0.447,77,0.200,354578014.599,0.196,0.000,-0.404,0,0,fp
k5,-0.872,"[-1.866, 0.122]",0.994,-1.464,0.148,77,0.200,354578014.599,0.196,0.000,-0.872,0,0,fp
vot,0.164,,,,,77,0.200,354578014.599,0.196,0.167,-0.003,0,0,fn
tt,-0.690,"[-1.181, -0.2]",0.490,-2.347,0.022,77,0.250,506443468.483,0.224,-1.000,0.310,0,0,fn
c,-4.168,"[-6.936, -1.4]",2.768,-2.512,0.014,77,0.250,506443468.483,0.224,-6.000,1.832,0,0,fn
s,-2.041,"[-3.168, -0.914]",1.127,-3.020,0.004,77,0.250,506443468.483,0.224,-3.000,0.959,0,0,fn
k0,0.357,"[-0.458, 1.172]",0.815,0.730,0.468,77,0.250,506443468.483,0.224,0.000,0.357,0,0,fp
k1,0.270,"[-0.476, 1.017]",0.746,0.604,0.548,77,0.250,506443468.483,0.224,0.000,0.270,0,0,fp
k2,0.306,"[-0.502, 1.113]",0.807,0.631,0.530,77,0.250,506443468.483,0.224,0.000,0.306,0,0,fp
k3,-0.739,"[-1.469, -0.01]",0.729,-1.692,0.095,77,0.250,506443468.483,0.224,0.000,-0.739,0,1,fp
k4,0.065,"[-0.599, 0.729]",0.664,0.163,0.871,77,0.250,506443468.483,0.224,0.000,0.065,0,0,fp
k5,-0.322,"[-1.094, 0.45]",0.772,-0.696,0.489,77,0.250,506443468.483,0.224,0.000,-0.322,0,0,fp
vot,0.166,,,,,77,0.250,506443468.483,0.224,0.167,-0.001,0,0,fn
