stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.634,"[-1.4, 0.132]",0.766,-1.381,0.172
norefined,c,-6.950,"[-13.379, -0.521]",6.429,-1.803,0.076
norefined,s,-4.558,"[-8.954, -0.162]",4.396,-1.729,0.088
norefined,k0,-1.854,"[-4.238, 0.531]",2.384,-1.297,0.199
norefined,k1,0.328,"[-1.105, 1.762]",1.433,0.382,0.704
norefined,k2,-0.580,"[-2.432, 1.272]",1.852,-0.522,0.603
norefined,k3,1.228,"[-1.521, 3.978]",2.750,0.745,0.459
norefined,k4,-0.144,"[-1.591, 1.303]",1.447,-0.166,0.869
norefined,k5,0.963,"[-0.92, 2.846]",1.883,0.853,0.397
refined,tt,-1.108,"[-2.34, 0.124]",1.232,-1.500,0.138
refined,c,-8.526,"[-16.503, -0.548]",7.977,-1.783,0.079
refined,s,-4.673,"[-9.148, -0.199]",4.474,-1.742,0.086
refined,k0,-0.149,"[-1.766, 1.468]",1.617,-0.154,0.878
refined,k1,-0.440,"[-2.351, 1.47]",1.911,-0.384,0.702
refined,k2,-0.586,"[-2.267, 1.095]",1.681,-0.582,0.563
refined,k3,1.625,"[-1.611, 4.86]",3.236,0.837,0.405
refined,k4,-1.050,"[-2.83, 0.73]",1.780,-0.984,0.329
refined,k5,-0.429,"[-2.057, 1.199]",1.628,-0.439,0.662
