stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-2.963,-6.004,-4.546,-1.800,0.742,-0.052,1.591,0.590,1.588,2412581449.794,0.493
norefined,2,-2.508,-6.125,-4.677,-1.843,0.701,-0.088,1.543,0.521,1.581,1771998688.439,0.410
norefined,3,-2.047,-6.266,-4.738,-1.903,0.670,-0.115,1.507,0.461,1.522,1450552415.001,0.327
norefined,4,-1.578,-6.414,-4.736,-1.944,0.668,-0.141,1.483,0.426,1.456,1122388615.649,0.246
norefined,5,-1.105,-6.543,-4.728,-1.966,0.659,-0.174,1.465,0.376,1.388,874342153.582,0.169
norefined,6,-0.829,-6.711,-4.642,-2.007,0.523,-0.347,1.348,0.140,1.250,805178126.490,0.124
norefined,7,-1.112,-6.731,-4.650,-2.050,0.357,-0.516,1.210,-0.086,1.047,825547493.828,0.165
norefined,8,-0.647,-6.857,-4.595,-1.945,0.394,-0.507,1.240,-0.062,1.061,782380788.290,0.094
norefined,9,-1.099,-6.828,-4.609,-1.968,0.285,-0.589,1.201,-0.167,0.946,805845830.594,0.161
norefined,10,-0.634,-6.950,-4.558,-1.854,0.328,-0.580,1.228,-0.144,0.963,770461938.989,0.091
refined,11,-0.634,-6.950,-4.558,-1.854,0.328,-0.580,1.228,-0.144,0.963,770461938.989,0.091
refined,12,-0.946,-5.794,-2.651,1.688,-0.723,-0.912,1.267,-1.267,-0.755,923545298.182,0.163
refined,13,0.004,-1.306,-1.014,-1.741,0.566,0.048,0.827,0.131,0.357,3027179282.481,-0.003
refined,14,-0.170,-1.948,-1.092,-0.650,0.086,-0.239,1.167,-0.423,0.002,822399246.926,0.087
refined,15,-0.368,-3.475,-1.811,-0.538,-0.009,-0.170,1.426,-0.784,-0.198,668718160.337,0.106
refined,16,-0.747,-5.931,-3.049,-0.080,-0.287,-0.102,1.607,-1.166,-0.422,621159302.105,0.126
refined,17,-0.853,-6.650,-3.559,-0.116,-0.309,-0.319,1.504,-1.013,-0.383,613824881.428,0.128
refined,18,-0.985,-7.596,-4.125,-0.107,-0.377,-0.466,1.505,-0.998,-0.380,611294591.849,0.130
refined,19,-1.032,-8.015,-4.385,-0.170,-0.388,-0.573,1.514,-0.971,-0.409,610611267.051,0.129
refined,20,-1.108,-8.526,-4.673,-0.149,-0.440,-0.586,1.625,-1.050,-0.429,610479664.042,0.130
