stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.106,-4.484,-4.570,-0.115,1.101,0.365,-1.826,1.129,1.213,5212842643.394,1584,0,0,-0.024
norefined,2,-0.324,-4.541,-4.584,-0.152,0.996,0.296,-1.902,0.999,1.065,3337020504.472,1584,0,0,0.071
norefined,3,-0.768,-4.594,-4.558,-0.168,0.897,0.269,-1.929,0.884,0.911,2261496858.136,1584,0,0,0.167
norefined,4,-1.144,-4.679,-4.502,-0.147,0.760,0.252,-1.917,0.739,0.669,1673728704.175,1584,0,0,0.244
norefined,5,-1.322,-4.817,-4.425,-0.053,0.544,0.264,-1.858,0.579,0.340,1230316485.038,1584,0,0,0.274
norefined,6,-1.487,-4.934,-4.333,0.061,0.321,0.300,-1.761,0.418,0.021,922172120.355,1584,0,0,0.301
norefined,7,-1.212,-5.072,-4.320,0.236,0.155,0.376,-1.644,0.302,-0.232,741938573.433,1584,0,0,0.239
norefined,8,-1.536,-5.142,-4.169,0.310,-0.027,0.415,-1.521,0.215,-0.466,740317109.258,1584,0,0,0.299
norefined,9,-1.051,-5.222,-4.237,0.334,-0.047,0.424,-1.510,0.222,-0.519,688929663.654,1584,0,0,0.201
norefined,10,-1.521,-5.220,-4.119,0.315,-0.107,0.435,-1.467,0.192,-0.609,710072590.709,1584,0,0,0.291
refined,11,-1.051,-5.222,-4.237,0.334,-0.047,0.424,-1.510,0.222,-0.519,688929663.654,1584,0,0,0.201
refined,12,-1.022,-6.107,-2.790,-0.403,-0.401,0.584,-0.479,-0.096,-0.196,436274992.509,1584,0,0,0.167
refined,13,-0.972,-5.734,-2.816,-0.392,-0.346,0.482,-0.341,0.015,-0.216,427621826.014,1584,0,0,0.170
refined,14,-1.053,-6.218,-3.048,-0.409,-0.374,0.534,-0.439,0.032,-0.243,427410281.997,1584,0,0,0.169
refined,15,-0.997,-5.874,-2.891,-0.390,-0.364,0.501,-0.383,0.019,-0.219,427359291.540,1584,0,0,0.170
refined,16,-1.037,-6.121,-3.005,-0.404,-0.372,0.525,-0.424,0.029,-0.237,427321150.470,1584,0,0,0.169
refined,17,-1.009,-5.949,-2.925,-0.394,-0.366,0.509,-0.395,0.022,-0.225,427307017.972,1584,0,0,0.170
refined,18,-1.029,-6.071,-2.982,-0.401,-0.370,0.521,-0.415,0.027,-0.233,427298376.745,1584,0,0,0.169
refined,19,-1.015,-5.986,-2.942,-0.396,-0.367,0.512,-0.401,0.024,-0.227,427294665.235,1584,0,0,0.170
refined,20,-1.025,-6.046,-2.970,-0.400,-0.369,0.518,-0.411,0.026,-0.231,427292619.530,1584,0,0,0.169
