link_key,speed_hist_avg,inrix_id,tt_sd,bus_stops,speed_ref_sd,intersections,median_age,speed_avg,tt_avg,road_closures,tt_sd_adj,tt_var,speed_sd,incidents,tt_cv,speed_ref_avg,median_inc,pems_ids,speed_hist_sd,speed_max,speed_cv
"(213, 17, '0')",13.256,441679111.000,0.185,0,0.000,0,34.200,13.877,0.599,0.000,0,0.034,4.675,0,0.309,29.826,67.240,[],1.037,22.369,0.337
"(830, 17, '0')",18.796,441461376.000,0.153,1,0.000,0,34.200,15.120,0.568,0.000,0,0.024,4.607,0,0.270,24.233,67.240,[],2.037,26.098,0.305
"(865, 17, '0')",19.211,441679102.000,0.172,0,0.000,0,34.200,22.059,0.707,0.000,0,0.030,5.686,0,0.243,26.098,67.240,[],0.619,34.175,0.258
"(493, 250, '0')",0.000,,0.000,0,0.000,1,21.100,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,42.205,"[601215, 602215]",0.000,0.000,0.000
"(253, 250, '0')",26.978,1626706657.000,0.074,0,0.000,2,21.100,22.525,0.586,0.000,0,0.005,2.793,20,0.126,37.904,42.205,"[601215, 602215]",2.759,27.962,0.124
"(7, 559, '0')",21.230,441458238.000,0.214,0,0.000,0,34.400,14.084,0.840,0.000,0,0.046,3.897,0,0.255,27.962,66.653,[],1.813,22.369,0.277
"(8, 640, '0')",60.428,1626704618.000,0.013,0,0.000,0,24.600,66.280,0.443,0.000,0,0.000,1.662,16,0.029,62.137,36.042,[602345],0.707,68.972,0.025
"(105, 82, '0')",0.000,,0.000,0,0.000,1,34.400,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,66.653,[],0.000,0.000,0.000
"(105, 23, '0')",22.939,429471468.000,0.009,0,0.000,2,34.400,23.975,0.127,0.000,0,0.000,2.192,0,0.070,27.962,66.653,[],1.388,26.719,0.091
"(62, 23, '0')",21.230,1626735696.000,0.176,0,0.000,1,34.400,9.579,0.487,0.000,0,0.031,3.618,0,0.362,27.962,66.653,[],1.813,17.398,0.378
"(95, 23, '0')",38.059,1626615745.000,0.050,0,0.000,1,34.400,33.450,0.271,0.000,0,0.003,6.023,1,0.185,42.253,66.653,[],1.967,42.875,0.180
"(9, 708, '0')",0.000,170451683.000,0.000,0,0.000,1,34.400,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,66.653,[],0.000,0.000,0.000
"(707, 708, '0')",19.055,441679176.000,0.089,0,0.000,1,34.400,15.690,0.552,0.000,0,0.008,2.296,0,0.162,24.233,66.653,[],1.224,18.641,0.146
"(737, 708, '0')",12.738,441679174.000,0.126,0,0.000,1,34.400,15.949,0.374,0.000,0,0.016,4.099,0,0.337,19.263,66.653,[],1.257,21.748,0.257
"(9, 1230, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(82, 237, '0')",0.000,,0.000,0,0.000,0,34.400,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,66.653,[],0.000,0.000,0.000
"(144, 237, '0')",63.173,1626615940.000,0.010,0,0.000,2,34.400,67.885,0.190,0.000,0,0.000,2.780,4,0.055,65.244,66.653,[],0.765,72.079,0.041
"(62, 144, '0')",22.939,1626615706.000,0.013,0,0.000,0,34.400,26.408,0.229,0.000,0,0.000,1.767,0,0.057,27.962,66.653,[],1.388,29.826,0.067
"(48, 144, '0')",65.762,1626615688.000,0.009,0,0.000,0,34.400,72.545,0.245,0.000,0,0.000,2.003,0,0.037,67.108,66.653,[],0.242,77.050,0.028
"(57, 55, '0')",15.949,429471470.000,0.068,0,0.000,2,31.100,15.379,0.233,0.000,0,0.005,4.379,0,0.291,21.748,93.828,[],1.134,24.233,0.285
"(56, 55, '0')",16.466,1626751626.000,0.069,0,0.000,2,31.100,13.877,0.316,0.000,0,0.005,3.249,0,0.219,24.233,93.828,[],1.170,21.127,0.234
"(93, 55, '0')",34.020,1626615921.000,0.032,0,0.000,1,31.100,29.412,0.338,0.000,0,0.001,3.105,0,0.094,32.933,93.828,[],1.502,36.661,0.106
"(580, 142, '0')",63.483,170326096.000,0.010,0,0.000,0,34.400,70.940,0.520,0.000,0,0.000,1.541,0,0.020,67.108,66.653,[602541],1.087,73.943,0.022
