link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_id,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,pems_ids,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,tt_sd_adj,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(1421, 1039, '0')",0,,1800.000,0.091,40,1626733628.000,[],LWRLK,3261,200.000,3,40,0.061,0.150,4.000,0.091,1800.000,[],1626733628.000,25.062,26.098,23.560,1.209,29.204,2.546,0.102,1.388,0.000,0.119,0.014,0.099,0,0.000,23.867,21.300,0.000,0.000,0.000,0.124
"(123, 1567, '0')",0,,inf,0.000,99999,,[],PQULK,344,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(125, 1566, '0')",0,,inf,0.000,99999,,[],PQULK,346,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1338, 126, '0')",0,,1800.000,0.122,30,,[],LWRLK,347,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.344,36.700,0.000,0.000,1.000,0.122
"(623, 126, '0')",0,,inf,0.000,99999,,[],PQULK,352,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1338, 137, '0')",0,,1800.000,0.122,30,,[],LWRLK,349,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.344,36.700,0.000,0.000,1.000,0.122
"(617, 137, '0')",0,,inf,0.000,99999,,[],PQULK,354,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1338, 1333, '0')",0,,1800.000,0.203,40,449891911.000,[],LWRLK,3080,200.000,3,40,0.136,0.150,4.000,0.203,1800.000,[],449891911.000,25.683,29.204,22.318,1.167,28.583,1.662,0.065,1.578,0.000,0.076,0.006,0.065,0,0.000,66.344,36.700,0.000,0.000,1.000,0.284
"(1338, 916, '0')",0,,1800.000,0.126,40,449891880.000,[],LWRLK,3083,200.000,3,40,0.084,0.150,4.000,0.126,1800.000,[],449891880.000,25.632,29.826,23.923,1.157,29.204,1.799,0.070,1.463,0.000,0.080,0.006,0.069,0,0.000,66.344,36.700,0.000,0.000,1.000,0.172
"(126, 1338, '0')",0,,1800.000,0.122,30,,[],LWRLK,348,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.344,36.700,0.000,0.000,1.000,0.122
"(137, 1338, '0')",0,,1800.000,0.122,30,,[],LWRLK,350,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.344,36.700,0.000,0.000,1.000,0.122
"(1337, 1338, '0')",0,,1800.000,0.110,40,449891911.000,[],LWRLK,3077,200.000,5,40,0.074,0.150,4.000,0.110,1800.000,[],449891911.000,25.683,29.204,22.318,1.167,28.583,1.662,0.065,1.578,0.000,0.076,0.006,0.065,0,0.000,66.344,36.700,0.000,0.000,1.000,0.154
"(1339, 1338, '0')",0,,1800.000,0.105,40,449891880.000,[],LWRLK,3084,200.000,4,40,0.070,0.150,4.000,0.105,1800.000,[],449891880.000,25.632,29.826,23.923,1.157,29.204,1.799,0.070,1.463,0.000,0.080,0.006,0.069,0,0.000,66.344,36.700,0.000,0.000,1.000,0.144
"(126, 1526, '0')",0,,inf,0.000,99999,,[],PQULK,353,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(137, 1525, '0')",0,,inf,0.000,99999,,[],PQULK,355,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(142, 61, '0')",0,,2400.000,0.291,65,1626686780.000,[],LWRLK,351,200.000,2,65,0.315,0.150,4.000,0.291,2400.000,[],1626686780.000,66.797,27.609,65.969,0.589,69.594,1.389,0.021,0.742,0.000,0.012,0.000,0.020,0,0.000,66.653,34.400,0.000,0.000,1.000,0.272
"(1253, 1490, '0')",0,,inf,0.000,99999,,[],PQULK,357,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1253, 1252, '0')",0,,1800.000,0.106,40,441679109.000,[],LWRLK,2897,200.000,2,40,0.070,0.150,4.000,0.106,1800.000,[],441679109.000,25.062,28.583,22.991,0.270,27.340,1.575,0.063,0.918,0.000,0.013,0.000,0.047,0,0.000,67.240,34.200,0.000,0.000,0.000,0.154
"(139, 1109, '0')",0,,1800.000,0.122,30,400146735.000,[],LWRLK,358,180.000,2,30,0.061,0.150,4.000,0.122,1800.000,[],400146735.000,12.583,18.020,11.495,0.438,16.156,1.380,0.110,0.859,0.000,0.046,0.002,0.105,0,0.000,13.125,28.800,0.000,1.000,6.000,0.226
"(1137, 1109, '0')",0,,1800.000,0.107,35,1626613285.000,[],LWRLK,2629,200.000,3,35,0.062,0.150,4.000,0.107,1800.000,[],1626613285.000,11.651,14.292,11.651,0.435,13.049,1.819,0.156,1.819,0.000,0.079,0.006,0.181,0,0.000,13.125,28.800,0.000,1.000,6.000,0.286
"(1138, 1109, '0')",0,,1800.000,0.080,35,400073901.000,[],LWRLK,2632,200.000,3,35,0.047,0.150,4.000,0.080,1800.000,[],400073901.000,16.104,16.777,14.550,0.232,22.369,2.682,0.167,0.972,0.000,0.036,0.001,0.155,0,0.000,13.125,28.800,0.000,1.000,6.000,0.125
"(1536, 1711, '0')",0,,inf,0.000,99999,,[],DMDLK,359,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(145, 49, '0')",0,,2400.000,0.175,65,1626766899.000,[],LWRLK,360,200.000,2,65,0.190,0.150,4.000,0.175,2400.000,[],1626766899.000,66.176,65.244,65.503,0.660,67.729,1.009,0.015,0.320,0.000,0.010,0.000,0.016,0,0.000,39.191,28.700,0.000,0.000,0.000,0.168
"(536, 139, '0')",0,,inf,0.000,99999,,[],PQULK,361,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(146, 160, '0')",0,,1800.000,0.248,45,429471469.000,[],LWRLK,362,200.000,1,45,0.186,0.150,4.000,0.248,1800.000,[],429471469.000,52.868,55.923,56.027,0.152,57.788,3.140,0.059,0.872,0.000,0.013,0.000,0.088,0,0.000,66.653,34.400,3.000,0.000,0.000,0.193
"(146, 48, '0')",0,,2400.000,0.173,65,429471469.000,[],LWRLK,363,200.000,2,65,0.187,0.150,4.000,0.173,2400.000,[],429471469.000,52.868,55.923,56.027,0.152,57.788,3.140,0.059,0.872,0.000,0.013,0.000,0.088,0,0.000,66.653,34.400,5.000,0.000,1.000,0.194
"(888, 1512, '0')",0,,inf,0.000,99999,,[],PQULK,364,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(888, 874, '0')",0,,1800.000,0.208,40,449891914.000,[],LWRLK,2041,200.000,4,40,0.139,0.150,4.000,0.208,1800.000,[],449891914.000,20.195,26.098,19.987,0.729,23.612,2.009,0.099,0.582,0.000,0.082,0.007,0.113,0,0.000,30.907,26.700,0.000,0.000,1.000,0.353
"(876, 874, '0')",0,,1800.000,0.106,25,449891914.000,[],LWRLK,2016,200.000,2,25,0.044,0.150,4.000,0.106,1800.000,[],449891914.000,20.195,26.098,19.987,0.729,23.612,2.009,0.099,0.582,0.000,0.082,0.007,0.113,0,0.000,30.907,26.700,0.000,0.000,1.000,0.112
"(878, 874, '0')",0,,1800.000,0.220,40,449891939.000,[],LWRLK,2020,200.000,4,40,0.146,0.150,4.000,0.220,1800.000,[],449891939.000,22.214,29.204,20.557,0.672,24.233,1.328,0.060,1.337,0.000,0.040,0.002,0.059,0,0.000,30.907,26.700,0.000,0.000,1.000,0.363
"(886, 874, '0')",0,,1800.000,0.126,25,449891940.000,[],LWRLK,2038,200.000,2,25,0.053,0.150,4.000,0.126,1800.000,[],449891940.000,25.787,29.826,23.146,0.568,28.583,1.644,0.064,1.328,0.000,0.039,0.001,0.068,0,0.000,54.944,33.800,0.000,0.000,1.000,0.111
"(1119, 138, '0')",0,,1800.000,0.122,30,,[],LWRLK,365,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,14.243,24.900,0.000,0.000,1.000,0.122
"(996, 138, '0')",0,,inf,0.000,99999,,[],PQULK,371,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1119, 140, '0')",0,,1800.000,0.122,30,,[],LWRLK,368,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,14.243,24.900,0.000,0.000,1.000,0.122
"(995, 140, '0')",0,,inf,0.000,99999,,[],PQULK,374,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1119, 1460, '0')",0,,1800.000,0.102,35,1626637688.000,[],LWRLK,2592,200.000,2,35,0.059,0.150,4.000,0.102,1800.000,[],1626637688.000,21.644,21.748,18.848,1.034,24.855,2.166,0.100,0.765,0.000,0.098,0.010,0.095,0,0.000,14.243,24.900,0.000,0.000,1.000,0.143
"(1120, 1460, '0')",0,,1800.000,0.241,35,1626771082.000,[],LWRLK,2596,200.000,2,35,0.141,0.150,4.000,0.241,1800.000,[],1626771082.000,22.939,24.233,19.832,0.970,26.719,1.825,0.080,0.935,0.000,0.075,0.006,0.077,0,0.000,14.243,24.900,2.000,1.000,5.000,0.316
"(1119, 1461, '0')",0,,1800.000,0.097,35,1626771082.000,[],LWRLK,2594,200.000,2,35,0.057,0.150,4.000,0.097,1800.000,[],1626771082.000,22.939,24.233,19.832,0.970,26.719,1.825,0.080,0.935,0.000,0.075,0.006,0.077,0,0.000,14.243,24.900,0.000,0.000,1.000,0.127
"(1180, 1461, '0')",0,,1800.000,0.077,35,1626637688.000,[],LWRLK,2725,200.000,2,35,0.045,0.150,4.000,0.077,1800.000,[],1626637688.000,21.644,21.748,18.848,1.034,24.855,2.166,0.100,0.765,0.000,0.098,0.010,0.095,0,0.000,14.243,24.900,0.000,0.000,0.000,0.109
"(138, 1119, '0')",0,,1800.000,0.122,30,,[],LWRLK,367,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,14.243,24.900,0.000,0.000,1.000,0.122
"(140, 1119, '0')",0,,1800.000,0.122,30,1626771082.000,[],LWRLK,369,180.000,1,30,0.061,0.150,4.000,0.122,1800.000,[],1626771082.000,22.939,24.233,19.832,0.970,26.719,1.825,0.080,0.935,0.000,0.075,0.006,0.077,0,0.000,14.243,24.900,0.000,0.000,1.000,0.137
"(1460, 1119, '0')",0,,1800.000,0.102,35,1626771082.000,[],LWRLK,3335,200.000,3,35,0.059,0.150,4.000,0.102,1800.000,[],1626771082.000,22.939,24.233,19.832,0.970,26.719,1.825,0.080,0.935,0.000,0.075,0.006,0.077,0,0.000,14.243,24.900,0.000,0.000,1.000,0.133
"(1461, 1119, '0')",0,,1800.000,0.097,35,1626637688.000,[],LWRLK,3336,200.000,3,35,0.057,0.150,4.000,0.097,1800.000,[],1626637688.000,21.644,21.748,18.848,1.034,24.855,2.166,0.100,0.765,0.000,0.098,0.010,0.095,0,0.000,14.243,24.900,0.000,0.000,1.000,0.136
"(138, 1583, '0')",0,,inf,0.000,99999,,[],PQULK,372,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(140, 1584, '0')",0,,inf,0.000,99999,,[],PQULK,377,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(149, 145, '0')",0,,2400.000,0.102,65,1626766899.000,[],LWRLK,370,200.000,3,65,0.110,0.150,4.000,0.102,2400.000,[],1626766899.000,66.176,65.244,65.503,0.660,67.729,1.009,0.015,0.320,0.000,0.010,0.000,0.016,0,0.000,39.191,28.700,0.000,0.000,0.000,0.097
"(151, 556, '0')",0,,2400.000,0.104,65,1626686767.000,[],LWRLK,375,200.000,3,65,0.113,0.150,4.000,0.104,2400.000,[],1626686767.000,66.435,65.244,63.794,0.531,68.972,1.363,0.021,0.484,0.000,0.010,0.000,0.019,0,0.000,36.974,29.000,1.000,0.000,0.000,0.098
"(152, 154, '0')",0,,2400.000,0.459,65,1626686669.000,[],LWRLK,376,200.000,3,65,0.497,0.150,4.000,0.459,2400.000,[],1626686669.000,66.435,65.244,63.794,0.347,68.972,1.363,0.021,0.484,0.000,0.012,0.000,0.033,0,0.000,36.974,29.000,3.000,0.000,1.000,0.432
"(153, 132, '0')",1,3886.000,2400.000,0.234,65,1626767125.000,[601540],LWRLK,378,200.000,3,65,0.254,0.150,4.000,0.234,2400.000,"[601540, 601540, 601540]",1626767125.000,67.212,65.865,66.021,0.472,68.351,0.985,0.015,0.707,0.000,0.004,0.000,0.008,0,0.000,36.974,29.000,0.000,0.000,0.000,0.223
"(1624, 1576, '0')",0,,inf,0.000,99999,,[],PQULK,379,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1624, 1436, '0')",0,,1800.000,0.079,25,441662994.000,[],LWRLK,4260,200.000,1,25,0.033,0.150,4.000,0.079,1800.000,[],441662994.000,22.007,21.748,19.573,0.381,24.233,1.664,0.076,1.076,0.000,0.026,0.001,0.069,0,0.000,29.375,24.700,0.000,0.000,1.000,0.081
"(1625, 1436, '0')",0,,1800.000,0.069,25,,[],LWRLK,4261,200.000,1,25,0.029,0.150,4.000,0.069,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,14.243,24.900,0.000,0.000,1.000,0.069
"(1437, 1436, '0')",0,,1800.000,0.177,40,441662996.000,[],LWRLK,3293,200.000,2,40,0.118,0.150,4.000,0.177,1800.000,[],441662996.000,27.703,26.719,24.441,0.136,31.690,2.616,0.094,0.852,0.000,0.013,0.000,0.097,0,0.000,14.243,24.900,0.000,0.000,3.000,0.223
"(1439, 1436, '0')",1,2772.000,1800.000,0.512,40,441662994.000,[601344],LWRLK,3296,200.000,2,40,0.341,0.150,4.000,0.512,1800.000,"[601344, 601344, 601344]",441662994.000,22.007,21.748,19.573,0.381,24.233,1.664,0.076,1.076,0.000,0.026,0.001,0.069,0,0.000,14.243,24.900,0.000,1.000,5.000,0.845
"(154, 547, '0')",1,1178.500,2400.000,0.160,65,1626737570.000,"[601208, 602208, 601208, 602208, 601208, 602208, 601208, 602208]",LWRLK,380,200.000,3,65,0.173,0.150,4.000,0.160,2400.000,"[601208, 602208, 601208, 602208, 601208, 602208, 601208, 602208]",1626737570.000,66.590,65.865,64.001,0.472,67.729,1.087,0.016,0.000,0.000,0.005,0.000,0.010,0,0.000,30.907,26.700,11.000,0.000,0.000,0.153
"(551, 547, '0')",1,1846.000,1800.000,0.222,50,1626737570.000,"[601208, 602208, 601208, 602208, 601208, 602208, 601208, 602208]",LWRLK,1314,200.000,1,50,0.185,0.150,4.000,0.222,1800.000,"[601208, 602208, 601208, 602208, 601208, 602208, 601208, 602208]",1626737570.000,66.590,65.865,64.001,0.472,67.729,1.087,0.016,0.000,0.000,0.005,0.000,0.010,0,0.000,30.907,26.700,14.000,0.000,0.000,0.164
"(954, 994, '0')",0,,1800.000,0.779,15,,[],LWRLK,381,200.000,1,15,0.195,0.150,4.000,0.779,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,15.738,46.800,0.000,0.191,1.000,0.779
"(954, 958, '0')",0,,1800.000,0.267,40,449891872.000,[],LWRLK,2198,200.000,3,40,0.178,0.150,4.000,0.267,1800.000,[],449891872.000,22.525,29.826,23.975,0.497,31.069,4.458,0.198,3.779,0.000,0.090,0.008,0.180,0,0.000,15.738,46.800,0.000,0.000,2.000,0.344
"(1384, 1379, '0')",0,,1800.000,0.144,35,400073560.000,[],LWRLK,382,200.000,2,35,0.084,0.150,4.000,0.144,1800.000,[],400073560.000,26.564,24.855,24.130,0.333,29.204,1.720,0.065,1.471,0.000,0.023,0.001,0.070,0,0.000,15.738,46.800,0.000,0.000,1.000,0.172
"(947, 1379, '0')",0,,1800.000,0.105,35,400073537.000,[],LWRLK,2184,200.000,3,35,0.061,0.150,4.000,0.105,1800.000,[],400073537.000,24.078,22.991,19.729,0.028,29.826,2.952,0.123,0.843,0.000,0.004,0.000,0.137,0,0.000,15.738,46.800,0.000,1.000,2.000,0.123
"(1384, 949, '0')",0,,1800.000,0.084,35,400032282.000,[],LWRLK,3183,200.000,2,35,0.049,0.150,4.000,0.084,1800.000,[],400032282.000,24.078,22.991,19.729,0.370,29.826,2.952,0.123,0.843,0.000,0.043,0.002,0.116,0,0.000,15.738,46.800,0.000,0.000,0.000,0.098
"(931, 949, '0')",0,,1800.000,0.192,35,400073560.000,[],LWRLK,2142,200.000,2,35,0.112,0.150,4.000,0.192,1800.000,[],400073560.000,26.564,24.855,24.130,0.333,29.204,1.720,0.065,1.471,0.000,0.023,0.001,0.070,0,0.000,44.531,29.100,0.000,1.000,1.000,0.231
"(155, 215, '0')",0,,2400.000,0.451,65,1626686650.000,[],LWRLK,383,200.000,3,65,0.489,0.150,4.000,0.451,2400.000,[],1626686650.000,67.212,65.865,64.519,0.257,68.972,1.020,0.015,0.640,0.000,0.010,0.000,0.038,0,0.000,30.907,26.700,14.000,0.000,0.000,0.425
"(532, 215, '0')",0,,1800.000,0.121,55,1626647450.000,[],LWRLK,1274,200.000,1,55,0.111,0.150,4.000,0.121,1800.000,[],1626647450.000,36.920,31.690,30.913,0.263,44.739,5.209,0.141,2.625,0.000,0.042,0.002,0.162,0,0.000,30.907,26.700,13.000,0.000,0.000,0.149
"(156, 153, '0')",1,3886.000,2400.000,0.361,65,1626767125.000,[601540],LWRLK,384,200.000,3,65,0.391,0.150,4.000,0.361,2400.000,"[601540, 601540, 601540]",1626767125.000,67.212,65.865,66.021,0.472,68.351,0.985,0.015,0.707,0.000,0.004,0.000,0.008,0,0.000,36.974,29.000,0.000,0.000,0.000,0.343
"(1379, 1384, '0')",0,,1800.000,0.144,35,400032282.000,[],LWRLK,385,200.000,2,35,0.084,0.150,4.000,0.144,1800.000,[],400032282.000,24.078,22.991,19.729,0.370,29.826,2.952,0.123,0.843,0.000,0.043,0.002,0.116,0,0.000,15.738,46.800,0.000,0.000,1.000,0.169
"(949, 1384, '0')",0,,1800.000,0.084,35,400073560.000,[],LWRLK,2190,200.000,3,35,0.049,0.150,4.000,0.084,1800.000,[],400073560.000,26.564,24.855,24.130,0.333,29.204,1.720,0.065,1.471,0.000,0.023,0.001,0.070,0,0.000,15.738,46.800,0.000,0.000,0.000,0.100
"(1379, 947, '0')",0,,1800.000,0.105,35,400032304.000,[],LWRLK,3176,200.000,2,35,0.061,0.150,4.000,0.105,1800.000,[],400032304.000,26.564,24.855,24.130,0.027,29.204,1.720,0.065,1.471,0.000,0.005,0.000,0.185,0,0.000,15.738,46.800,0.000,1.000,2.000,0.125
"(1378, 947, '0')",0,,1800.000,0.029,40,400032303.000,[],LWRLK,3171,200.000,2,40,0.019,0.150,4.000,0.029,1800.000,[],400032303.000,24.078,22.991,19.729,0.128,29.826,2.952,0.123,0.843,0.000,0.017,0.000,0.132,0,0.000,15.738,46.800,0.000,1.000,2.000,0.038
"(648, 947, '0')",0,,inf,0.000,99999,,[],PQULK,3180,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(157, 1203, '0')",0,,1800.000,0.119,45,441679118.000,[],LWRLK,386,200.000,3,45,0.089,0.150,4.000,0.119,1800.000,[],441679118.000,23.612,27.962,20.919,0.128,27.962,2.514,0.106,0.484,0.000,0.014,0.000,0.106,0,0.000,56.987,30.500,0.000,0.000,0.000,0.192
"(1205, 1203, '0')",0,,1800.000,0.274,25,441679120.000,[],LWRLK,2785,200.000,1,25,0.114,0.150,4.000,0.274,1800.000,[],441679120.000,25.787,29.204,23.560,0.142,29.204,1.556,0.060,1.256,0.000,0.011,0.000,0.080,0,0.000,56.987,30.500,0.000,0.000,0.000,0.234
"(1209, 1203, '0')",0,,1800.000,0.192,25,,[],LWRLK,2791,200.000,1,25,0.080,0.150,4.000,0.192,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,56.987,30.500,0.000,0.000,0.000,0.192
"(157, 1202, '0')",0,,1800.000,0.219,25,441679118.000,[],LWRLK,387,200.000,1,25,0.091,0.150,4.000,0.219,1800.000,[],441679118.000,23.612,27.962,20.919,0.128,27.962,2.514,0.106,0.484,0.000,0.014,0.000,0.106,0,0.000,56.987,30.500,0.000,0.000,1.000,0.196
"(1207, 1202, '0')",0,,1800.000,0.255,25,,[],LWRLK,2789,200.000,1,25,0.106,0.150,4.000,0.255,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,24.821,46.000,0.000,0.000,1.000,0.255
"(1210, 1202, '0')",0,,1800.000,0.070,45,441679120.000,[],LWRLK,2794,200.000,3,45,0.052,0.150,4.000,0.070,1800.000,[],441679120.000,25.787,29.204,23.560,0.142,29.204,1.556,0.060,1.256,0.000,0.011,0.000,0.080,0,0.000,56.987,30.500,0.000,0.000,1.000,0.108
"(1535, 1710, '0')",0,,inf,0.000,99999,,[],DMDLK,388,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(159, 823, '0')",0,,1800.000,0.302,50,1626685661.000,[],LWRLK,392,200.000,3,50,0.251,0.150,4.000,0.302,1800.000,[],1626685661.000,30.344,34.797,27.340,0.963,34.797,2.621,0.086,1.545,0.000,0.083,0.007,0.086,0,0.000,56.987,30.500,0.000,0.000,2.000,0.433
"(387, 823, '0')",0,,inf,0.000,99999,,[],PQULK,1856,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1534, 1709, '0')",0,,inf,0.000,99999,,[],DMDLK,393,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(1533, 1708, '0')",0,,inf,0.000,99999,,[],DMDLK,394,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(161, 85, '0')",0,,2400.000,0.294,65,1626662918.000,[],LWRLK,395,200.000,3,65,0.318,0.150,4.000,0.294,2400.000,[],1626662918.000,65.969,65.244,62.448,0.100,67.729,1.471,0.022,1.364,0.000,0.000,0.000,0.000,0,0.000,14.243,24.900,13.000,0.000,0.000,0.282
"(328, 85, '0')",0,,1800.000,0.362,60,1626662918.000,[],LWRLK,772,200.000,1,60,0.362,0.150,4.000,0.362,1800.000,[],1626662918.000,65.969,65.244,62.448,0.100,67.729,1.471,0.022,1.364,0.000,0.000,0.000,0.000,0,0.000,14.243,24.900,8.000,0.000,0.000,0.320
"(1532, 1707, '0')",0,,inf,0.000,99999,,[],DMDLK,396,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(162, 52, '0')",1,915.000,2400.000,0.131,65,1626749030.000,[602530],LWRLK,397,200.000,3,65,0.142,0.150,4.000,0.131,2400.000,"[602530, 602530, 602530]",1626749030.000,26.307,27.609,66.694,0.737,70.836,1.020,0.015,0.612,0.000,0.012,0.000,0.017,0,0.000,24.432,39.300,14.000,0.000,0.000,0.120
"(1531, 1706, '0')",0,,inf,0.000,99999,,[],DMDLK,398,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(163, 928, '0')",0,,1800.000,0.302,40,1626619658.000,[],LWRLK,399,200.000,2,40,0.201,0.150,4.000,0.302,1800.000,[],1626619658.000,22.059,26.098,21.541,0.432,24.855,1.414,0.064,2.058,0.000,0.088,0.008,0.065,0,0.000,66.344,36.700,0.000,0.000,2.000,0.486
