link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_id,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,pems_ids,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,tt_sd_adj,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(361, 412, '0')",1,1058.000,1800.000,0.021,55,400421634.000,[602210],LWRLK,11,180.000,1,55,0.019,0.150,4.000,0.021,1800.000,"[602210, 602210, 602210]",400421634.000,66.124,64.001,63.276,0.264,68.972,1.991,0.030,0.640,0.000,0.011,0.000,0.041,0,0.000,20.750,29.300,0.000,0.000,0.000,0.017
"(205, 412, '0')",1,1058.000,2400.000,0.286,65,400421634.000,"[602210, 602210, 602210, 602210]",LWRLK,489,200.000,3,65,0.310,0.150,4.000,0.286,2400.000,"[602210, 602210, 602210, 602210]",400421634.000,66.124,64.001,63.276,0.264,68.972,1.991,0.030,0.640,0.000,0.011,0.000,0.041,0,0.000,20.750,29.300,7.000,0.000,2.000,0.270
"(473, 4, '0')",1,2307.000,1800.000,0.156,60,1626686637.000,"[601413, 602413, 601413, 602413, 601413, 602413, 601413, 602413]",LWRLK,12,180.000,1,60,0.156,0.150,4.000,0.156,1800.000,"[601413, 602413, 601413, 602413, 601413, 602413, 601413, 602413]",1626686637.000,66.021,65.244,62.707,0.592,67.729,1.274,0.019,0.493,0.000,0.013,0.000,0.023,0,0.000,42.500,36.500,12.000,0.000,2.000,0.138
"(252, 4, '0')",1,2346.600,2400.000,0.519,60,1626631905.000,[601413],LWRLK,614,200.000,3,60,0.519,0.150,4.000,0.519,2400.000,"[602413, 601413, 602413, 601413, 602413]",1626631905.000,65.658,65.865,62.862,0.240,67.108,1.459,0.022,0.582,0.000,0.010,0.000,0.044,0,0.000,42.205,21.100,0.938,0.000,3.000,0.464
"(5, 519, '0')",0,,1800.000,0.019,35,429471497.000,[],LWRLK,13,200.000,1,35,0.011,0.150,4.000,0.019,1800.000,[],429471497.000,17.036,21.748,18.020,0.124,21.127,2.721,0.160,2.035,0.000,0.022,0.000,0.177,0,0.000,45.536,33.100,0.000,0.000,0.000,0.031
"(5, 35, '0')",0,,1800.000,0.017,40,1626736434.000,[],LWRLK,14,200.000,3,40,0.012,0.150,4.000,0.017,1800.000,[],1626736434.000,17.036,21.748,18.020,0.482,21.127,2.721,0.160,2.035,0.000,0.078,0.006,0.161,0,0.000,45.536,33.100,0.000,0.000,1.000,0.033
"(91, 35, '0')",0,,1800.000,0.156,40,429473541.000,[],LWRLK,225,200.000,3,40,0.104,0.150,4.000,0.156,1800.000,[],429473541.000,22.059,24.855,19.470,0.115,26.098,3.240,0.147,0.306,0.000,0.017,0.000,0.151,0,0.000,45.536,33.100,0.000,0.000,2.000,0.239
"(510, 35, '0')",0,,1800.000,0.056,35,1626613838.000,[],LWRLK,1231,200.000,3,35,0.032,0.150,4.000,0.056,1800.000,[],1626613838.000,26.253,34.797,25.373,0.343,31.069,3.486,0.133,0.787,0.000,0.049,0.002,0.144,0,0.000,45.536,33.100,0.000,0.000,1.000,0.063
"(6, 539, '0')",0,,1800.000,0.216,40,1626728177.000,[],LWRLK,15,200.000,3,40,0.144,0.150,4.000,0.216,1800.000,[],1626728177.000,23.560,24.855,18.745,0.420,26.719,2.160,0.092,0.949,0.000,0.041,0.002,0.098,0,0.000,36.974,29.000,0.000,0.000,2.000,0.323
"(166, 539, '0')",0,,1800.000,0.132,40,1626667843.000,[],LWRLK,406,200.000,3,40,0.088,0.150,4.000,0.132,1800.000,[],1626667843.000,15.431,19.884,14.602,0.363,16.777,1.020,0.066,1.487,0.000,0.025,0.001,0.070,0,0.000,36.974,29.000,2.000,0.000,2.000,0.314
"(557, 539, '0')",0,,1800.000,0.256,35,1626747729.000,[],LWRLK,1327,200.000,3,35,0.149,0.150,4.000,0.256,1800.000,[],1626747729.000,23.043,19.884,16.207,0.548,29.204,4.333,0.188,2.347,0.000,0.107,0.012,0.196,0,0.000,36.974,29.000,0.000,0.000,1.000,0.306
"(6, 17, '0')",0,,1800.000,0.209,40,1626698650.000,[],LWRLK,16,200.000,4,40,0.140,0.150,4.000,0.209,1800.000,[],1626698650.000,15.431,19.884,14.602,0.670,16.777,1.020,0.066,1.487,0.000,0.039,0.001,0.058,0,0.000,36.974,29.000,1.000,0.000,1.000,0.499
"(213, 17, '0')",0,,1800.000,0.223,40,441679111.000,[],LWRLK,517,200.000,4,40,0.149,0.150,4.000,0.223,1800.000,[],441679111.000,29.412,29.826,21.541,0.257,33.554,2.024,0.069,1.165,0.000,0.020,0.000,0.079,0,0.000,67.240,34.200,0.000,0.000,0.000,0.266
"(830, 17, '0')",0,,1800.000,0.178,40,441461376.000,[],LWRLK,1913,200.000,4,40,0.119,0.150,4.000,0.178,1800.000,[],441461376.000,23.664,26.719,21.800,0.344,30.447,3.387,0.143,0.415,0.000,0.048,0.002,0.138,0,0.000,67.240,34.200,0.000,1.000,0.000,0.234
"(865, 17, '0')",0,,1800.000,0.129,40,441679102.000,[],LWRLK,1993,200.000,4,40,0.086,0.150,4.000,0.129,1800.000,[],441679102.000,26.305,26.719,21.437,0.563,31.690,2.206,0.084,0.726,0.000,0.046,0.002,0.081,0,0.000,67.240,34.200,0.000,0.000,0.000,0.163
"(493, 250, '0')",1,2333.000,1800.000,0.117,55,,"[601215, 602215, 601215, 602215, 601215, 602215, 601215, 602215]",LWRLK,17,180.000,1,55,0.107,0.150,4.000,0.117,1800.000,"[601215, 602215, 601215, 602215, 601215, 602215, 601215, 602215]",,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,42.205,21.100,0.000,0.000,1.000,0.117
