link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(252, 4, '0')",1,2444.000,2400.000,0.519,60,1626631905,[602413],LWRLK,614,200.000,3,60,0.519,0.150,4.000,0.519,2400.000,1626631905.000,65.541,64.974,62.191,0.244,70.215,1.761,0.028,3.028,0.515,0.010,0.000,0.028,0.000,42.205,21.100,26,0,3,0.443
"(5, 519, '0')",0,,1800.000,0.019,35,429471497,[],LWRLK,13,200.000,1,35,0.011,0.150,4.000,0.019,1800.000,429471497.000,10.590,20.451,14.663,0.210,19.263,3.076,0.210,1.758,1.289,0.072,0.005,0.210,0.000,45.536,33.100,0,0,0,0.034
"(5, 35, '0')",0,,1800.000,0.017,40,1626736434,[],LWRLK,14,200.000,3,40,0.012,0.150,4.000,0.017,1800.000,1626736434.000,11.212,20.451,14.663,0.759,19.263,2.635,0.180,1.758,1.289,0.192,0.037,0.180,0.000,45.536,33.100,0,0,1,0.036
"(91, 35, '0')",0,,1800.000,0.156,40,429473541,[],LWRLK,225,200.000,3,40,0.104,0.150,4.000,0.156,1800.000,429473541.000,14.872,23.774,18.628,0.185,29.204,4.642,0.249,1.082,2.062,0.058,0.003,0.249,0.000,45.536,33.100,0,0,2,0.213
"(510, 35, '0')",0,,1800.000,0.056,35,1626613838,[],LWRLK,1231,200.000,3,35,0.032,0.150,4.000,0.056,1800.000,1626613838.000,23.450,34.175,27.631,0.397,41.632,5.291,0.191,5.273,0.000,0.089,0.008,0.191,0.000,45.536,33.100,0,0,1,0.047
"(6, 539, '0')",0,,1800.000,0.216,40,1626728177,[],LWRLK,15,200.000,3,40,0.144,0.150,4.000,0.216,1800.000,1626728177.000,12.961,24.233,19.661,0.821,26.098,3.980,0.202,3.594,0.000,0.233,0.054,0.202,0.000,36.974,29.000,0,0,2,0.331
"(166, 539, '0')",0,,1800.000,0.132,40,1626667843,[],LWRLK,406,200.000,3,40,0.088,0.150,4.000,0.132,1800.000,1626667843.000,12.920,19.749,13.994,0.461,26.098,3.429,0.245,1.712,0.258,0.140,0.020,0.245,0.000,36.974,29.000,2,0,2,0.202
"(557, 539, '0')",0,,1800.000,0.256,35,1626747729,[],LWRLK,1327,200.000,3,35,0.149,0.150,4.000,0.256,1800.000,1626747729.000,13.089,15.858,15.305,1.031,26.098,3.795,0.248,2.979,1.804,0.386,0.149,0.248,0.000,36.974,29.000,0,0,1,0.343
"(6, 17, '0')",0,,1800.000,0.209,40,1626698650,[],LWRLK,16,200.000,4,40,0.140,0.150,4.000,0.209,1800.000,1626698650.000,14.771,19.749,13.994,0.739,26.098,3.685,0.263,1.712,0.258,0.223,0.050,0.263,0.000,36.974,29.000,1,0,1,0.321
"(213, 17, '0')",0,,1800.000,0.223,40,441679111,[],LWRLK,517,200.000,4,40,0.149,0.150,4.000,0.223,1800.000,441679111.000,14.386,30.798,20.863,0.597,29.826,4.985,0.239,4.649,0.515,0.253,0.064,0.239,0.000,67.240,34.200,0,0,0,0.299
"(830, 17, '0')",0,,1800.000,0.178,40,441461376,[],LWRLK,1913,200.000,4,40,0.119,0.150,4.000,0.178,1800.000,441461376.000,18.094,26.179,22.011,0.479,33.554,5.328,0.242,3.171,1.031,0.147,0.022,0.242,0.000,67.240,34.200,0,1,0,0.212
"(865, 17, '0')",0,,1800.000,0.129,40,441679102,[],LWRLK,1993,200.000,4,40,0.086,0.150,4.000,0.129,1800.000,441679102.000,22.667,26.098,21.897,0.682,39.768,5.106,0.233,2.029,0.000,0.153,0.023,0.233,0.000,67.240,34.200,0,0,0,0.130
"(493, 250, '0')",1,2444.000,1800.000,0.117,55,,"[601215, 602215]",LWRLK,17,180.000,1,55,0.107,0.150,4.000,0.117,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.205,21.100,0,0,1,0.117
"(253, 250, '0')",1,2466.400,2400.000,0.806,65,1626706657,[602215],LWRLK,617,200.000,3,65,0.873,0.150,4.000,0.806,2400.000,1626706657.000,24.922,37.904,26.989,0.539,37.904,4.769,0.177,4.212,0.000,0.104,0.011,0.177,0.000,42.205,21.100,20,0,2,1.382
"(7, 559, '0')",0,,1800.000,0.121,45,441458238,[],LWRLK,18,200.000,3,45,0.091,0.150,4.000,0.121,1800.000,441458238.000,14.832,29.421,21.701,0.782,21.748,2.957,0.136,0.918,0.773,0.178,0.032,0.136,0.000,66.653,34.400,0,0,0,0.250
"(8, 640, '0')",1,1096.000,2400.000,0.344,65,1626704618,[602345],LWRLK,19,200.000,4,65,0.373,0.150,4.000,0.344,2400.000,1626704618.000,66.629,62.623,62.495,0.440,71.458,1.736,0.028,2.276,0.258,0.013,0.000,0.028,0.000,36.042,24.600,16,0,0,0.313
"(105, 82, '0')",0,,1800.000,0.043,35,,[],LWRLK,20,180.000,1,35,0.025,0.150,4.000,0.043,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,0.043
"(105, 23, '0')",0,,1800.000,0.119,45,429471468,[],LWRLK,254,200.000,3,45,0.089,0.150,4.000,0.119,1800.000,429471468.000,21.924,26.989,23.943,0.143,33.554,4.223,0.176,1.122,0.515,0.031,0.001,0.176,0.000,66.653,34.400,0,0,2,0.159
"(62, 23, '0')",0,,1800.000,0.136,45,1626735696,[],LWRLK,165,200.000,2,45,0.102,0.150,4.000,0.136,1800.000,1626735696.000,10.388,29.421,21.701,0.452,28.583,4.190,0.193,0.918,0.773,0.173,0.030,0.193,0.000,66.653,34.400,0,0,1,0.214
"(95, 23, '0')",0,,1800.000,0.439,25,1626615745,[],LWRLK,234,200.000,2,25,0.183,0.150,4.000,0.439,1800.000,1626615745.000,35.222,40.308,37.073,0.258,50.331,6.085,0.164,2.535,1.031,0.046,0.002,0.164,0.000,66.653,34.400,1,0,1,0.218
"(9, 708, '0')",0,,1800.000,0.105,35,170451683,[],LWRLK,21,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,170451683.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,1,0.105
"(707, 708, '0')",0,,1800.000,0.146,45,441679176,[],LWRLK,1632,200.000,5,45,0.109,0.150,4.000,0.146,1800.000,441679176.000,16.527,24.720,18.459,0.538,27.962,3.392,0.184,1.589,0.258,0.118,0.014,0.184,0.000,66.653,34.400,0,0,1,0.234
"(737, 708, '0')",0,,1800.000,0.118,45,441679174,[],LWRLK,1695,200.000,4,45,0.088,0.150,4.000,0.118,1800.000,441679174.000,16.297,19.749,14.501,0.361,26.719,3.924,0.271,1.646,0.258,0.101,0.010,0.271,0.000,66.653,34.400,0,0,1,0.198
