stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.059,-7.897,-4.689,-0.553,1.472,1.548,-1.379,1.476,1.585,1314314067.038,0.134
norefined,2,-1.534,-7.914,-4.610,-0.598,1.428,1.484,-1.363,1.405,1.520,1061607956.901,0.194
norefined,3,-1.104,-8.039,-4.646,-0.578,1.366,1.358,-1.220,1.336,1.466,1152149290.109,0.137
norefined,4,-1.577,-8.057,-4.560,-0.619,1.327,1.287,-1.198,1.260,1.403,1032101933.782,0.196
norefined,5,-1.107,-8.132,-4.619,-0.588,1.321,1.210,-1.085,1.241,1.416,1085005131.385,0.136
norefined,6,-1.579,-8.152,-4.528,-0.628,1.285,1.137,-1.058,1.165,1.357,1006511828.295,0.194
norefined,7,-1.105,-8.215,-4.590,-0.597,1.288,1.070,-0.954,1.154,1.380,1032428255.849,0.134
norefined,8,-1.576,-8.235,-4.494,-0.636,1.254,0.994,-0.923,1.076,1.326,982658313.823,0.191
norefined,9,-1.097,-8.291,-4.560,-0.608,1.260,0.936,-0.828,1.070,1.349,989476270.658,0.132
norefined,10,-1.569,-8.311,-4.460,-0.645,1.231,0.860,-0.793,0.994,1.303,960943626.079,0.189
refined,11,-1.569,-8.311,-4.460,-0.645,1.231,0.860,-0.793,0.994,1.303,960943626.079,0.189
refined,12,0.606,0.142,1.970,0.790,-1.882,0.789,1.728,-0.468,-0.323,9312064661.302,4.260
refined,13,-4.412,-2.363,-13.219,-3.908,15.476,-8.437,-11.736,3.896,1.425,2206795784.652,1.868
refined,14,13.504,-14.733,44.664,17.924,-59.306,30.036,55.988,-5.211,-6.010,9935851449.238,-0.917
refined,15,-154.995,111.932,-485.413,-209.265,613.995,-305.914,-552.244,77.062,82.393,3005881649.685,-1.385
refined,16,3216.613,-260.619,11274.393,-7758.111,5469.801,975.344,-3394.845,9082.891,-5686.548,10043494548.776,-12.342
refined,17,3216.613,-260.619,11274.393,-7758.111,5469.801,975.344,-3394.845,9082.891,-5686.548,10043494548.776,-12.342
refined,18,3216.613,-260.619,11274.393,-7758.111,5469.801,975.344,-3394.845,9082.891,-5686.548,10043494548.776,-12.342
refined,19,3216.613,-260.619,11274.393,-7758.111,5469.801,975.344,-3394.845,9082.891,-5686.548,10043494548.776,-12.342
refined,20,3216.613,-260.619,11274.393,-7758.111,5469.801,975.344,-3394.845,9082.891,-5686.548,10043494548.776,-12.342
