stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.139,"[-1.77, -0.509]",0.631,-3.013,0.004
norefined,c,-5.773,"[-8.969, -2.577]",3.196,-3.013,0.004
norefined,s,-3.225,"[-5.078, -1.372]",1.853,-2.903,0.005
norefined,k0,-1.555,"[-2.919, -0.191]",1.364,-1.901,0.062
norefined,k1,0.750,"[-0.384, 1.885]",1.134,1.103,0.274
norefined,k2,1.476,"[0.302, 2.65]",1.174,2.097,0.040
norefined,k3,-1.154,"[-2.355, 0.047]",1.201,-1.603,0.114
norefined,k4,-0.393,"[-1.209, 0.423]",0.816,-0.803,0.425
norefined,k5,-0.109,"[-0.977, 0.76]",0.869,-0.208,0.835
refined,tt,-0.804,"[-1.13, -0.478]",0.326,-4.119,0.000
refined,c,-4.628,"[-6.44, -2.817]",1.812,-4.261,0.000
refined,s,-2.563,"[-3.57, -1.555]",1.007,-4.244,0.000
refined,k0,0.072,"[-0.419, 0.564]",0.491,0.245,0.807
refined,k1,0.270,"[-0.329, 0.869]",0.599,0.751,0.455
refined,k2,0.280,"[-0.158, 0.718]",0.438,1.065,0.291
refined,k3,-0.091,"[-0.661, 0.48]",0.571,-0.264,0.792
refined,k4,0.068,"[-0.469, 0.605]",0.537,0.211,0.834
refined,k5,-0.134,"[-0.655, 0.386]",0.520,-0.431,0.668
