stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.952,"[-1.761, -0.144]",0.808,-2.001,0.055
norefined,c,-6.119,"[-10.559, -1.679]",4.440,-2.342,0.026
norefined,s,-3.973,"[-6.835, -1.111]",2.862,-2.359,0.025
norefined,k0,-0.769,"[-2.329, 0.792]",1.561,-0.837,0.409
norefined,k1,-1.043,"[-2.046, -0.039]",1.004,-1.766,0.088
norefined,k2,-0.438,"[-1.677, 0.801]",1.239,-0.601,0.553
norefined,k3,0.328,"[-1.359, 2.016]",1.687,0.330,0.743
norefined,k4,-0.381,"[-1.635, 0.874]",1.255,-0.516,0.610
norefined,k5,-0.794,"[-2.009, 0.42]",1.214,-1.111,0.276
refined,tt,-0.904,"[-1.232, -0.576]",0.328,-4.684,0.000
refined,c,-5.455,"[-7.2, -3.71]",1.745,-5.312,0.000
refined,s,-2.609,"[-3.488, -1.73]",0.879,-5.044,0.000
refined,k0,-0.173,"[-0.798, 0.451]",0.625,-0.471,0.641
refined,k1,0.074,"[-0.335, 0.483]",0.409,0.309,0.760
refined,k2,0.158,"[-0.267, 0.583]",0.425,0.633,0.532
refined,k3,-0.177,"[-0.735, 0.382]",0.559,-0.538,0.595
refined,k4,0.090,"[-0.401, 0.582]",0.491,0.313,0.756
refined,k5,-0.206,"[-0.649, 0.237]",0.443,-0.791,0.435
