stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,43.852,2.023,0.000,76,0,9,2333913009.361,338713409.012
refined,73.861,2.023,0.000,76,0,9,2333913009.361,213696582.147
