stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-0.489,-6.514,-1.029,0.210,0.016,1.165,0.076,-0.558,0.031,1064271755.372,1584,0,0,0.075
norefined,2,-0.964,-6.459,-1.148,0.176,-0.026,1.105,0.084,-0.553,0.011,801690321.157,1584,0,0,0.149
norefined,3,-0.625,-6.454,-1.477,0.098,-0.118,1.011,0.088,-0.520,-0.034,769412928.823,1584,0,0,0.097
norefined,4,-1.105,-6.383,-1.572,0.097,-0.136,0.960,0.110,-0.474,-0.047,675459759.947,1584,0,0,0.173
norefined,5,-0.667,-6.404,-1.790,0.051,-0.188,0.906,0.112,-0.448,-0.090,667394078.875,1584,0,0,0.104
norefined,6,-1.151,-6.329,-1.857,0.059,-0.196,0.866,0.135,-0.391,-0.094,596379063.068,1584,0,0,0.182
norefined,7,-0.694,-6.358,-2.038,0.015,-0.237,0.828,0.137,-0.369,-0.135,607549180.554,1584,0,0,0.109
norefined,8,-1.181,-6.283,-2.082,0.026,-0.241,0.797,0.157,-0.309,-0.133,546203513.684,1584,0,0,0.188
norefined,9,-0.712,-6.318,-2.235,-0.018,-0.272,0.770,0.159,-0.292,-0.175,568977887.606,1584,0,0,0.113
norefined,10,-1.201,-6.243,-2.262,-0.006,-0.274,0.745,0.177,-0.233,-0.169,514187048.567,1584,0,0,0.192
refined,11,-1.201,-6.243,-2.262,-0.006,-0.274,0.745,0.177,-0.233,-0.169,514187048.567,1584,0,0,0.192
refined,12,-0.304,-1.615,-1.576,-0.732,0.395,0.524,0.790,0.669,-0.771,771756354.862,1584,0,0,0.188
refined,13,-0.488,-2.693,-1.736,-0.574,0.262,0.667,0.622,0.570,-0.762,400522643.712,1584,0,0,0.181
refined,14,-0.750,-4.214,-2.278,-0.730,0.251,0.903,0.710,0.760,-0.797,356481234.315,1584,0,0,0.178
refined,15,-0.677,-3.845,-2.081,-0.472,0.165,0.634,0.482,0.601,-0.695,352558555.330,1584,0,0,0.176
refined,16,-0.746,-4.214,-2.261,-0.586,0.170,0.725,0.517,0.668,-0.723,352199456.659,1584,0,0,0.177
refined,17,-0.698,-3.942,-2.153,-0.515,0.155,0.649,0.493,0.618,-0.712,352164544.227,1584,0,0,0.177
refined,18,-0.740,-4.184,-2.249,-0.573,0.155,0.710,0.513,0.660,-0.719,352097104.094,1584,0,0,0.177
refined,19,-0.706,-3.986,-2.172,-0.525,0.154,0.659,0.496,0.625,-0.713,352080579.726,1584,0,0,0.177
refined,20,-0.735,-4.154,-2.237,-0.565,0.154,0.702,0.511,0.654,-0.717,352051577.069,1584,0,0,0.177
