stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.224,"[-1.766, -0.681]",0.542,-3.764,0.000
norefined,c,-6.413,"[-9.591, -3.234]",3.178,-3.365,0.001
norefined,s,-3.059,"[-4.382, -1.737]",1.323,-3.858,0.000
norefined,k0,-0.394,"[-1.316, 0.528]",0.922,-0.713,0.478
norefined,k1,-1.369,"[-2.466, -0.271]",1.098,-2.080,0.041
norefined,k2,1.171,"[-0.217, 2.559]",1.388,1.407,0.164
norefined,k3,1.201,"[0.165, 2.238]",1.037,1.933,0.057
norefined,k4,-0.406,"[-1.46, 0.648]",1.054,-0.642,0.523
norefined,k5,-0.673,"[-1.792, 0.446]",1.119,-1.003,0.319
refined,tt,-2.069,"[-3.363, -0.775]",1.294,-2.666,0.010
refined,c,-12.818,"[-21.224, -4.412]",8.406,-2.543,0.013
refined,s,-6.683,"[-11.125, -2.241]",4.442,-2.509,0.015
refined,k0,-1.129,"[-2.554, 0.295]",1.425,-1.322,0.191
refined,k1,-0.130,"[-1.11, 0.849]",0.979,-0.222,0.825
refined,k2,2.383,"[0.188, 4.578]",2.195,1.810,0.075
refined,k3,-0.081,"[-1.027, 0.865]",0.946,-0.143,0.887
refined,k4,0.213,"[-1.218, 1.644]",1.431,0.249,0.804
refined,k5,-0.306,"[-1.481, 0.868]",1.174,-0.435,0.665
