stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,40.132,1.727,0.000,76,0,9,2753274574.678,430813959.199
refined,56.808,1.727,0.000,76,0,9,2753274574.678,318998933.924
