stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.358,"[-2.15, -0.566]",0.792,-3.424,0.001
norefined,c,-6.333,"[-9.908, -2.758]",3.575,-3.536,0.001
norefined,s,-3.221,"[-5.039, -1.403]",1.818,-3.536,0.001
norefined,k0,0.578,"[-0.323, 1.48]",0.901,1.281,0.205
norefined,k1,-0.663,"[-1.911, 0.584]",1.248,-1.061,0.292
norefined,k2,0.467,"[-0.567, 1.5]",1.034,0.902,0.371
norefined,k3,0.505,"[-0.605, 1.615]",1.110,0.908,0.367
norefined,k4,-0.932,"[-1.891, 0.028]",0.959,-1.938,0.057
norefined,k5,-1.257,"[-3.036, 0.522]",1.779,-1.411,0.163
refined,tt,-0.649,"[-0.808, -0.489]",0.160,-8.105,0.000
refined,c,-4.722,"[-5.805, -3.64]",1.083,-8.707,0.000
refined,s,-2.163,"[-2.727, -1.599]",0.564,-7.653,0.000
refined,k0,0.252,"[-0.139, 0.644]",0.391,1.287,0.202
refined,k1,-0.023,"[-0.499, 0.453]",0.476,-0.096,0.924
refined,k2,-0.417,"[-0.867, 0.033]",0.450,-1.850,0.069
refined,k3,-0.166,"[-0.571, 0.239]",0.405,-0.817,0.417
refined,k4,0.226,"[-0.118, 0.57]",0.344,1.312,0.194
refined,k5,-0.127,"[-0.673, 0.42]",0.546,-0.463,0.645
