stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.927,"[-1.456, -0.399]",0.528,-3.503,0.001
norefined,c,-6.233,"[-9.4, -3.066]",3.167,-3.928,0.000
norefined,s,-3.500,"[-5.474, -1.526]",1.974,-3.539,0.001
norefined,k0,0.672,"[-0.459, 1.803]",1.131,1.186,0.240
norefined,k1,-0.641,"[-2.495, 1.214]",1.854,-0.690,0.493
norefined,k2,0.545,"[-0.901, 1.992]",1.447,0.752,0.454
norefined,k3,0.657,"[-0.689, 2.002]",1.346,0.974,0.333
norefined,k4,-1.080,"[-2.227, 0.067]",1.147,-1.879,0.065
norefined,k5,-1.364,"[-3.021, 0.293]",1.657,-1.643,0.105
refined,tt,-0.999,"[-1.405, -0.593]",0.406,-4.915,0.000
refined,c,-6.233,"[-8.482, -3.984]",2.249,-5.531,0.000
refined,s,-2.956,"[-4.153, -1.759]",1.197,-4.930,0.000
refined,k0,0.314,"[-0.3, 0.928]",0.614,1.021,0.311
refined,k1,-0.040,"[-0.875, 0.795]",0.835,-0.096,0.924
refined,k2,-0.251,"[-0.962, 0.459]",0.711,-0.706,0.483
refined,k3,0.027,"[-0.635, 0.69]",0.662,0.082,0.935
refined,k4,-0.246,"[-0.853, 0.362]",0.607,-0.807,0.423
refined,k5,-0.393,"[-1.397, 0.612]",1.004,-0.780,0.438
