stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,104.445,2.023,0.000,76,0,9,2956688954.964,196719875.409
refined,181.382,2.023,0.000,76,0,9,2956688954.964,116566601.104
