stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.977,-7.060,-3.560,1.930,1.073,-1.244,-1.843,1.508,-1.408,2929082238.549,-0.138
norefined,2,0.505,-7.129,-3.522,1.867,1.028,-1.294,-1.918,1.463,-1.476,1932408558.206,-0.071
norefined,3,0.024,-7.162,-3.493,1.815,0.971,-1.356,-1.972,1.425,-1.528,947584571.908,-0.003
norefined,4,-0.448,-7.170,-3.451,1.747,0.888,-1.438,-2.017,1.388,-1.586,382573589.163,0.062
norefined,5,-0.936,-7.162,-3.434,1.692,0.804,-1.464,-2.003,1.380,-1.609,265172294.128,0.131
norefined,6,-0.924,-7.220,-3.609,1.653,0.768,-1.109,-1.749,1.423,-1.465,203776220.631,0.128
norefined,7,-1.242,-7.249,-3.697,1.544,0.691,-0.885,-1.488,1.434,-1.399,160920840.703,0.171
norefined,8,-1.042,-7.340,-3.796,1.461,0.682,-0.584,-1.212,1.429,-1.267,128466462.803,0.142
norefined,9,-1.490,-7.354,-3.740,1.346,0.591,-0.556,-1.060,1.400,-1.275,120125022.649,0.203
norefined,10,-1.070,-7.449,-3.818,1.311,0.576,-0.396,-0.898,1.368,-1.206,101408174.796,0.144
refined,11,-1.070,-7.449,-3.818,1.311,0.576,-0.396,-0.898,1.368,-1.206,101408174.796,0.144
refined,12,-0.544,-2.606,-0.810,0.165,-0.047,0.305,0.624,-0.015,-0.070,158404987.121,0.209
refined,13,-0.455,-2.443,-1.193,0.025,-0.109,0.193,0.239,0.357,-0.380,53397171.784,0.186
refined,14,-0.595,-3.245,-1.637,0.019,-0.072,0.160,0.183,0.373,-0.383,47474735.956,0.183
refined,15,-0.714,-4.017,-2.036,0.103,-0.001,0.084,0.132,0.374,-0.373,45856007.348,0.178
refined,16,-0.750,-4.288,-2.170,0.168,0.036,0.036,0.136,0.396,-0.381,45637851.314,0.175
refined,17,-0.757,-4.336,-2.187,0.185,0.047,0.027,0.137,0.399,-0.380,45628358.656,0.175
refined,18,-0.760,-4.359,-2.198,0.188,0.049,0.024,0.135,0.399,-0.379,45627878.572,0.174
refined,19,-0.759,-4.352,-2.193,0.190,0.050,0.024,0.137,0.400,-0.380,45627843.813,0.174
refined,20,-0.761,-4.362,-2.198,0.189,0.050,0.024,0.135,0.400,-0.379,45627834.085,0.174
