stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,108.156,2.023,0.000,76,0,9,2875028342.479,185146566.277
refined,153.004,2.023,0.000,76,0,9,2875028342.479,133394400.799
