stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-2.027,-7.020,-1.095,0.692,1.793,-1.018,-1.694,-0.934,-1.578,829028835.645,1584,0,0,0.289
norefined,2,-1.601,-7.136,-1.254,0.750,1.643,-1.070,-1.680,-0.960,-1.575,565452547.433,1584,0,0,0.224
norefined,3,-1.139,-7.237,-1.358,0.770,1.536,-1.095,-1.648,-0.954,-1.528,461487794.325,1584,0,0,0.157
norefined,4,-0.821,-7.339,-1.402,0.811,1.483,-1.060,-1.457,-0.824,-1.250,385850227.636,1584,0,0,0.112
norefined,5,-1.180,-7.357,-1.388,0.813,1.487,-1.004,-1.246,-0.692,-1.014,362801554.435,1584,0,0,0.160
norefined,6,-0.764,-7.428,-1.451,0.842,1.422,-1.001,-1.134,-0.633,-0.798,322188411.160,1584,0,0,0.103
norefined,7,-1.225,-7.394,-1.455,0.819,1.424,-0.961,-0.999,-0.579,-0.684,319438206.725,1584,0,0,0.166
norefined,8,-0.759,-7.455,-1.538,0.831,1.358,-0.975,-0.943,-0.555,-0.566,291538661.643,1584,0,0,0.102
norefined,9,-1.232,-7.407,-1.552,0.806,1.358,-0.939,-0.827,-0.517,-0.485,291236306.926,1584,0,0,0.166
norefined,10,-0.756,-7.462,-1.647,0.806,1.293,-0.956,-0.791,-0.507,-0.412,270994136.440,1584,0,0,0.101
refined,11,-0.756,-7.462,-1.647,0.806,1.293,-0.956,-0.791,-0.507,-0.412,270994136.440,1584,0,0,0.101
refined,12,-0.773,-3.434,-2.940,-0.339,-0.565,0.734,0.569,0.464,0.314,315234207.228,1584,0,0,0.225
refined,13,-0.702,-4.499,-2.118,0.048,-0.005,0.355,0.209,-0.194,0.026,83532052.787,1584,0,0,0.156
refined,14,-0.977,-6.299,-3.018,0.137,0.179,0.453,0.356,-0.396,0.134,73528151.828,1584,0,0,0.155
refined,15,-1.125,-7.253,-3.514,0.177,0.240,0.644,0.490,-0.576,0.186,72160896.271,1584,0,0,0.155
refined,16,-1.168,-7.518,-3.656,0.183,0.219,0.737,0.541,-0.645,0.191,71994458.799,1584,0,0,0.155
refined,17,-1.187,-7.634,-3.715,0.188,0.212,0.771,0.558,-0.673,0.194,71971020.208,1584,0,0,0.156
refined,18,-1.194,-7.674,-3.736,0.189,0.210,0.784,0.565,-0.683,0.195,71967908.851,1584,0,0,0.156
refined,19,-1.196,-7.690,-3.744,0.190,0.209,0.788,0.567,-0.686,0.195,71967508.454,1584,0,0,0.156
refined,20,-1.197,-7.695,-3.746,0.190,0.208,0.790,0.568,-0.688,0.195,71967457.501,1584,0,0,0.156
