stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,27.083,1.727,0.000,76,0,9,3229308592.787,696279517.952
refined,44.274,1.727,0.000,76,0,9,3229308592.787,464834214.514
