stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.833,-4.347,-1.008,-1.587,-1.178,-1.605,-0.542,-0.786,-0.803,5366923029.482,1584,0,0,-0.192
norefined,2,0.351,-4.364,-1.085,-1.589,-1.264,-1.628,-0.595,-0.799,-0.819,3036459098.611,1584,0,0,-0.080
norefined,3,-0.145,-4.367,-1.113,-1.552,-1.302,-1.648,-0.617,-0.813,-0.817,2050994068.963,1584,0,0,0.033
norefined,4,-0.599,-4.375,-1.208,-1.406,-1.334,-1.567,-0.577,-0.747,-0.815,1834076809.838,1584,0,0,0.137
norefined,5,-0.573,-4.385,-1.562,-1.224,-1.349,-1.379,-0.499,-0.545,-0.726,1581250234.963,1584,0,0,0.131
norefined,6,-0.701,-4.370,-1.865,-1.001,-1.344,-1.197,-0.370,-0.365,-0.627,1311654122.696,1584,0,0,0.160
norefined,7,-0.747,-4.358,-2.152,-0.765,-1.302,-1.011,-0.203,-0.187,-0.511,1044430291.995,1584,0,0,0.172
norefined,8,-0.725,-4.349,-2.406,-0.525,-1.229,-0.816,-0.026,0.000,-0.378,805701668.602,1584,0,0,0.167
norefined,9,-0.700,-4.342,-2.611,-0.275,-1.131,-0.607,0.159,0.191,-0.233,636563350.121,1584,0,0,0.161
norefined,10,-0.695,-4.369,-2.743,-0.033,-0.955,-0.342,0.346,0.357,-0.135,569295316.972,1584,0,0,0.159
refined,11,-0.695,-4.369,-2.743,-0.033,-0.955,-0.342,0.346,0.357,-0.135,569295316.972,1584,0,0,0.159
refined,12,-0.821,-4.912,-2.870,0.142,-0.043,0.392,0.061,0.467,-0.931,517190655.821,1584,0,0,0.167
refined,13,-0.794,-4.693,-2.964,0.056,-0.243,0.270,0.158,0.386,-0.751,514013388.406,1584,0,0,0.169
refined,14,-0.864,-5.094,-3.089,0.093,-0.190,0.330,0.138,0.455,-0.849,513281936.841,1584,0,0,0.170
refined,15,-0.823,-4.829,-3.021,0.075,-0.204,0.299,0.139,0.393,-0.788,513181198.882,1584,0,0,0.170
refined,16,-0.857,-5.038,-3.088,0.089,-0.194,0.319,0.138,0.437,-0.837,513087176.609,1584,0,0,0.170
refined,17,-0.834,-4.893,-3.042,0.080,-0.199,0.306,0.137,0.405,-0.804,513060170.230,1584,0,0,0.170
refined,18,-0.851,-4.999,-3.077,0.087,-0.196,0.315,0.137,0.428,-0.828,513041047.829,1584,0,0,0.170
refined,19,-0.839,-4.925,-3.053,0.082,-0.198,0.309,0.137,0.412,-0.811,513033729.910,1584,0,0,0.170
refined,20,-0.847,-4.977,-3.070,0.085,-0.196,0.313,0.137,0.423,-0.823,513029394.154,1584,0,0,0.170
