stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.044,-7.787,-4.522,0.867,1.316,0.124,0.998,1.514,-1.730,3521869399.667,0.006
norefined,2,-0.490,-7.813,-4.536,0.824,1.220,0.036,0.881,1.392,-1.791,1991264262.026,0.063
norefined,3,-0.939,-7.824,-4.531,0.753,1.136,0.012,0.776,1.250,-1.854,1103280296.022,0.120
norefined,4,-1.352,-7.830,-4.506,0.669,1.036,0.038,0.648,1.051,-1.924,730414199.907,0.173
norefined,5,-1.482,-7.867,-4.495,0.543,0.830,0.035,0.472,0.691,-2.035,493633011.499,0.188
norefined,6,-1.643,-7.900,-4.466,0.402,0.610,0.004,0.309,0.348,-2.127,411260505.614,0.208
norefined,7,-1.941,-7.947,-4.350,0.224,0.400,-0.124,0.260,0.123,-2.087,410380371.822,0.244
norefined,8,-1.471,-8.065,-4.362,0.206,0.404,-0.201,0.299,0.043,-2.051,415877956.756,0.182
norefined,9,-1.952,-8.000,-4.338,0.141,0.373,-0.228,0.256,0.090,-1.986,403702321.293,0.244
norefined,10,-1.479,-8.120,-4.343,0.130,0.380,-0.289,0.300,0.018,-1.953,410271707.995,0.182
refined,11,-1.952,-8.000,-4.338,0.141,0.373,-0.228,0.256,0.090,-1.986,403702321.293,0.244
refined,12,-2.000,-9.729,-4.415,-0.601,-0.087,-0.550,0.012,0.140,-0.756,356729502.384,0.206
refined,13,-1.596,-7.807,-3.630,-0.642,0.153,-0.472,0.126,0.084,-0.768,355150314.076,0.204
refined,14,-1.786,-8.701,-4.021,-0.724,0.095,-0.580,0.145,0.049,-0.765,354876433.634,0.205
refined,15,-1.652,-8.082,-3.746,-0.663,0.120,-0.510,0.132,0.068,-0.733,354837963.671,0.204
refined,16,-1.739,-8.481,-3.922,-0.705,0.103,-0.558,0.141,0.052,-0.756,354806613.140,0.205
refined,17,-1.682,-8.215,-3.804,-0.676,0.113,-0.527,0.135,0.062,-0.739,354797674.290,0.205
refined,18,-1.720,-8.393,-3.883,-0.695,0.106,-0.548,0.139,0.055,-0.751,354792328.592,0.205
refined,19,-1.695,-8.275,-3.830,-0.682,0.110,-0.534,0.137,0.059,-0.743,354790364.627,0.205
refined,20,-1.712,-8.354,-3.865,-0.691,0.107,-0.543,0.138,0.056,-0.748,354789360.950,0.205
