stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,31.844,1.727,0.000,0,9,3302180373.178,625703982.975,76
refined,57.003,1.727,0.000,0,9,3302180373.178,381443127.811,76
