stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.245,-7.982,-1.584,-1.158,0.075,0.094,1.522,-1.822,-1.961,1560303565.020,-0.031
norefined,2,-0.251,-8.001,-1.578,-1.193,0.065,0.070,1.501,-1.795,-1.944,993082077.058,0.031
norefined,3,-0.737,-8.005,-1.611,-1.198,0.094,0.067,1.499,-1.707,-1.880,651659116.938,0.092
norefined,4,-1.052,-7.979,-1.914,-1.268,0.163,0.084,1.489,-1.502,-1.798,591797745.260,0.132
norefined,5,-0.646,-8.004,-2.179,-1.270,0.217,0.062,1.450,-1.408,-1.781,584493496.410,0.081
norefined,6,-1.128,-7.974,-2.218,-1.269,0.290,0.076,1.467,-1.327,-1.730,531858349.018,0.141
norefined,7,-0.694,-8.005,-2.443,-1.251,0.342,0.054,1.427,-1.261,-1.713,528749933.662,0.087
norefined,8,-1.174,-7.978,-2.470,-1.227,0.429,0.066,1.438,-1.186,-1.653,486639154.638,0.147
norefined,9,-0.733,-8.009,-2.681,-1.197,0.481,0.040,1.393,-1.134,-1.635,488116695.028,0.091
norefined,10,-1.213,-7.987,-2.696,-1.157,0.569,0.051,1.399,-1.066,-1.565,451802112.282,0.152
refined,11,-1.213,-7.987,-2.696,-1.157,0.569,0.051,1.399,-1.066,-1.565,451802112.282,0.152
refined,12,-1.761,-11.399,-4.740,-0.727,0.972,0.140,0.805,-0.998,-1.101,360947763.426,0.155
refined,13,-1.280,-8.216,-5.213,-0.485,-0.014,0.422,0.916,-1.074,0.020,364621736.006,0.156
refined,14,-1.396,-9.353,-4.994,-0.022,0.147,0.294,0.728,-0.522,0.362,331037953.079,0.149
refined,15,-1.594,-10.259,-5.690,0.230,-0.128,0.844,0.703,-0.376,0.624,327944384.440,0.155
refined,16,-1.711,-10.961,-6.110,0.438,-0.268,1.110,0.745,-0.288,0.781,326751393.014,0.156
refined,17,-1.847,-11.726,-6.601,0.626,-0.419,1.354,0.821,-0.252,0.923,325935473.700,0.158
refined,18,-2.038,-12.849,-7.256,0.838,-0.572,1.619,0.939,-0.220,1.065,325259470.171,0.159
refined,19,-2.231,-13.968,-7.938,1.043,-0.723,1.906,1.027,-0.190,1.187,324619214.382,0.160
refined,20,-2.496,-15.554,-8.857,1.294,-0.899,2.268,1.142,-0.163,1.337,323949172.453,0.160
