stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.377,"[-2.783, 0.028]",1.405,-1.635,0.107
norefined,c,-7.968,"[-15.716, -0.22]",7.748,-1.715,0.091
norefined,s,-2.753,"[-5.583, 0.076]",2.829,-1.623,0.109
norefined,k0,-1.189,"[-3.126, 0.749]",1.938,-1.023,0.310
norefined,k1,0.210,"[-1.311, 1.732]",1.522,0.230,0.819
norefined,k2,-0.278,"[-2.202, 1.645]",1.923,-0.241,0.810
norefined,k3,1.181,"[-0.64, 3.002]",1.821,1.082,0.283
norefined,k4,-1.191,"[-3.226, 0.843]",2.034,-0.977,0.332
norefined,k5,-1.478,"[-3.668, 0.712]",2.190,-1.126,0.264
refined,tt,-242.984,"[-129814.872, 129328.903]",129571.888,-0.003,0.998
refined,c,-1268.841,"[-1141365.085, 1138827.403]",1140096.244,-0.002,0.999
refined,s,-545.814,"[-1165434.691, 1164343.063]",1164888.877,-0.001,0.999
refined,k0,5.595,"[-466632.131, 466643.322]",466637.726,0.000,1.000
refined,k1,-0.881,"[-302153.05, 302151.288]",302152.169,-0.000,1.000
refined,k2,-57.462,"[-468177.656, 468062.731]",468120.193,-0.000,1.000
refined,k3,-46.884,"[-1057011.067, 1056917.299]",1056964.183,-0.000,1.000
refined,k4,83.654,"[-1244499.299, 1244666.606]",1244582.953,0.000,1.000
refined,k5,108.004,"[-93674.221, 93890.229]",93782.225,0.002,0.998
