stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.048,-7.225,-2.677,-1.742,-0.426,-0.106,1.151,-0.172,-0.638,728034009.226,1584,0,0,-0.007
norefined,2,-0.434,-7.201,-2.717,-1.790,-0.452,-0.143,1.092,-0.207,-0.716,344392009.319,1584,0,0,0.060
norefined,3,-0.905,-7.147,-2.801,-1.763,-0.462,-0.175,1.011,-0.149,-0.798,209873610.337,1584,0,0,0.127
norefined,4,-1.119,-7.054,-3.095,-1.578,-0.367,-0.149,0.919,0.084,-0.841,189565390.039,1584,0,0,0.159
norefined,5,-0.649,-7.107,-3.183,-1.464,-0.318,-0.123,0.912,0.122,-0.806,214775936.125,1584,0,0,0.091
norefined,6,-1.131,-7.065,-3.189,-1.428,-0.318,-0.186,0.836,0.167,-0.860,179833558.081,1584,0,0,0.160
norefined,7,-0.655,-7.123,-3.253,-1.322,-0.274,-0.160,0.837,0.187,-0.819,203600992.019,1584,0,0,0.092
norefined,8,-1.139,-7.080,-3.251,-1.293,-0.281,-0.222,0.760,0.217,-0.871,172456469.540,1584,0,0,0.161
norefined,9,-0.661,-7.141,-3.303,-1.191,-0.240,-0.195,0.765,0.228,-0.825,195044005.367,1584,0,0,0.093
norefined,10,-1.146,-7.097,-3.298,-1.168,-0.252,-0.255,0.688,0.246,-0.876,166435960.838,1584,0,0,0.161
refined,11,-1.146,-7.097,-3.298,-1.168,-0.252,-0.255,0.688,0.246,-0.876,166435960.838,1584,0,0,0.161
refined,12,-1.040,-6.320,-3.428,0.989,0.156,-0.065,-0.445,-0.176,0.192,102617966.602,1584,0,0,0.165
refined,13,-1.040,-6.157,-3.253,0.562,0.005,0.027,-0.293,-0.048,0.053,89773271.707,1584,0,0,0.169
refined,14,-1.070,-6.420,-3.383,0.554,0.002,-0.001,-0.257,-0.061,0.024,89465435.905,1584,0,0,0.167
refined,15,-1.077,-6.466,-3.400,0.547,0.003,0.002,-0.248,-0.063,0.018,89454980.601,1584,0,0,0.167
refined,16,-1.079,-6.477,-3.405,0.546,0.003,0.002,-0.246,-0.063,0.017,89454504.375,1584,0,0,0.167
refined,17,-1.079,-6.480,-3.406,0.546,0.003,0.003,-0.246,-0.063,0.017,89454481.168,1584,0,0,0.167
refined,18,-1.079,-6.480,-3.406,0.546,0.003,0.003,-0.246,-0.063,0.017,89454479.988,1584,0,0,0.167
refined,19,-1.079,-6.481,-3.406,0.546,0.003,0.003,-0.246,-0.063,0.017,89454479.926,1584,0,0,0.167
refined,20,-1.079,-6.481,-3.406,0.546,0.003,0.003,-0.246,-0.063,0.017,89454479.923,1584,0,0,0.167
