stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.116,-6.632,-4.761,-1.639,1.821,0.334,-1.274,1.234,-0.900,1132158232.320,0.168
norefined,2,-1.507,-6.664,-4.708,-1.459,1.784,0.424,-1.071,1.227,-0.799,1112454155.671,0.226
norefined,3,-1.072,-6.746,-4.742,-1.290,1.791,0.498,-0.974,1.248,-0.709,1057076734.447,0.159
norefined,4,-1.513,-6.730,-4.705,-1.154,1.763,0.549,-0.815,1.257,-0.631,1052307491.091,0.225
norefined,5,-1.047,-6.792,-4.757,-1.032,1.776,0.600,-0.748,1.282,-0.573,999080298.130,0.154
norefined,6,-1.497,-6.755,-4.725,-0.909,1.756,0.649,-0.600,1.305,-0.502,995619939.351,0.222
norefined,7,-1.022,-6.809,-4.781,-0.804,1.771,0.691,-0.544,1.331,-0.461,946820414.799,0.150
norefined,8,-1.483,-6.763,-4.751,-0.702,1.748,0.730,-0.409,1.353,-0.400,949080256.292,0.219
norefined,9,-1.001,-6.813,-4.812,-0.616,1.758,0.760,-0.371,1.370,-0.369,908146894.165,0.147
norefined,10,-1.474,-6.766,-4.781,-0.542,1.724,0.781,-0.257,1.380,-0.317,918345053.774,0.218
refined,11,-1.001,-6.813,-4.812,-0.616,1.758,0.760,-0.371,1.370,-0.369,908146894.165,0.147
refined,12,1.354,9.538,5.695,2.133,-3.764,-2.047,1.802,-2.124,1.677,10905893985.335,0.142
refined,13,-12.280,-94.361,-53.093,-9.946,37.091,12.846,-15.432,17.142,-3.136,1503091362.092,0.130
refined,14,115.556,1063.270,478.850,62.672,-338.710,60.051,120.705,-345.436,-61.313,12167853712.883,0.109
refined,15,-1181.176,9365.172,5254.022,22956.170,20029.303,-27667.660,3124.494,13080.904,756.378,10991804991.258,-0.126
refined,16,-1181.176,9365.172,5254.022,22956.170,20029.303,-27667.660,3124.494,13080.904,756.378,10991804991.258,-0.126
refined,17,-1181.176,9365.172,5254.022,22956.170,20029.303,-27667.660,3124.494,13080.904,756.378,10991804991.258,-0.126
refined,18,-1181.176,9365.172,5254.022,22956.170,20029.303,-27667.660,3124.494,13080.904,756.378,10991804991.258,-0.126
refined,19,-1181.176,9365.172,5254.022,22956.170,20029.303,-27667.660,3124.494,13080.904,756.378,10991804991.258,-0.126
refined,20,-1181.176,9365.172,5254.022,22956.170,20029.303,-27667.660,3124.494,13080.904,756.378,10991804991.258,-0.126
