stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,90.544,2.023,0.000,76,0,9,3698272639.439,280966308.514
refined,177.672,2.023,0.000,76,0,9,3698272639.439,148725963.144
