theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,72893.8,-5511.5,260.1
-14.5,71639.7,-5593.0,292.3
-14.0,70354.5,-5675.2,328.8
-13.5,69037.8,-5758.0,370.3
-13.0,67689.2,-5841.2,417.5
-12.5,66308.5,-5924.5,471.4
-12.0,64895.5,-6007.6,533.3
-11.5,63450.5,-6090.1,604.6
-11.0,61973.8,-6171.3,687.2
-10.5,60466.0,-6250.8,783.3
-10.0,58928.2,-6327.7,895.9
-9.5,57361.9,-6401.0,1028.6
-9.0,55769.2,-6469.5,1186.1
-8.5,54152.8,-6531.6,1374.4
-8.0,52516.2,-6585.0,1601.7
-7.5,50862.8,-6627.4,1878.8
-7.0,49191.3,-6656.8,2220.2
-6.5,47494.3,-6662.7,2645.3
-6.0,45774.8,-6668.7,3185.4
-5.5,44056.4,-6601.4,3876.6
-5.0,42323.9,-6433.8,4772.5
-4.5,40584.3,-6312.6,5990.7
-4.0,38839.3,-6075.4,7640.4
-3.5,37131.1,-4823.6,9610.8
-3.0,35481.2,-4158.5,11992.8
-2.5,34184.1,-7625.5,13346.9
-2.0,34457.4,-3136.1,-14424.3
-1.5,20771.1,-29654.8,-107797.7
-1.0,0.0,-43710.3,249012.5
-0.5,193588.5,786224.0,4590299.1
0.0,1646132.7,10414501.1,41768156.3
0.5,22241428.3,0.0,-0.0
1.0,22241428.3,0.0,-0.0
1.5,22241428.3,0.0,-0.0
2.0,22241428.3,0.0,-0.0
2.5,22241428.3,0.0,-0.0
3.0,22241428.3,0.0,-0.0
3.5,22241428.3,0.0,-0.0
4.0,22241428.3,0.0,-0.0
4.5,22241428.3,0.0,-0.0
5.0,22241428.3,0.0,-0.0
5.5,22241428.3,0.0,-0.0
6.0,22241428.3,0.0,-0.0
6.5,22241428.3,0.0,-0.0
7.0,22241428.3,0.0,-0.0
7.5,22241428.3,0.0,-0.0
8.0,22241428.3,0.0,-0.0
8.5,22241428.3,0.0,-0.0
9.0,22241428.3,0.0,-0.0
9.5,22241428.3,0.0,-0.0
10.0,22241428.3,0.0,-0.0
10.5,22241428.3,0.0,-0.0
11.0,22241428.3,0.0,-0.0
11.5,22241428.3,0.0,-0.0
12.0,22241428.3,0.0,-0.0
12.5,22241428.3,0.0,-0.0
13.0,22241428.3,0.0,-0.0
13.5,22241428.3,0.0,-0.0
14.0,22241428.3,0.0,-0.0
14.5,22241428.3,0.0,-0.0
15.0,22241428.3,0.0,-0.0
